,state,name,zip,nursing_care,physical_therapy,occupational_therapy,pathology_services,medical_soc_services,home_health_aid,star_rating,timeliness,rx_ed,fall_risk,depression_check,flu_shot,pneumonia_shot,d_foot_care,move_buff,in_out_bed_buff,bathing_buff,move_pain_debuff,breathing_buff,oral_rx_buff,hospital_admit,urgent_noadmit,readmit_expectation,er_admit_expectation
2494,FL,TOTAL CARE HOME SERVICES INC,33122,True,True,True,True,True,False,4.5,98.6,100.0,99.5,98.6,84.1,99.1,100.0,76.9,74.5,89.4,100.0,24.2,60.9,12.3,8.6,0,0
2495,FL,PREFERRED HOME HEALTH AGENCY INC,33183,True,True,True,False,False,True,,,,,,,15.0,,,,,,,,19.1,3.2,0,0
2496,FL,VITAL HEALTH SERVICES INCORPORATED,33014,True,True,True,True,True,True,3.5,96.2,98.1,100.0,100.0,72.1,77.7,100.0,74.8,70.0,75.0,71.2,74.7,55.4,11.3,9.7,2,2
2497,FL,SERENITY HOME HEALTH CARE INC,33126,True,True,True,True,True,True,3.0,95.9,,100.0,91.2,,,92.7,68.9,71.7,66.9,96.4,78.7,52.7,15.9,6.0,2,2
2498,FL,"BROWARD CARE AT HOME, INC.",33309,True,True,True,True,True,True,4.5,97.4,100.0,100.0,100.0,83.2,81.5,100.0,81.1,77.0,77.6,80.1,81.6,51.0,18.0,5.2,2,2
2499,FL,LAKESIDE QUALITY HOME HEALTH CARE INC,33476,True,True,True,True,True,True,3.0,99.7,97.8,99.9,100.0,76.6,85.5,99.5,63.9,56.4,72.8,72.6,52.1,53.4,17.5,9.0,2,2
2500,FL,PERFECT CARE INC,33014,True,True,True,True,True,True,2.5,92.4,79.8,99.8,100.0,36.6,68.1,,71.6,63.8,73.1,68.6,66.0,42.1,17.3,9.9,1,2
2501,FL,OPTIONS HOME HEALTH,33415,True,True,True,True,True,True,4.0,99.5,99.8,100.0,98.9,82.4,82.4,97.6,73.0,75.1,76.4,83.1,74.1,72.7,14.2,11.3,1,1
2502,FL,HALIFAX HEALTH CARE AT HOME,32129,True,True,True,True,True,True,3.0,95.1,98.9,99.6,97.9,68.7,75.4,87.6,69.6,65.2,73.0,65.0,66.6,61.6,13.1,17.6,2,1
2503,FL,NATIONS HOME HEALTH AGENCY INC,33174,True,True,True,False,True,True,4.0,99.5,97.5,100.0,100.0,,77.7,100.0,82.8,75.1,78.9,100.0,51.3,20.7,11.9,6.9,0,0
2504,FL,ABBEY HOME HEALTH CARE INC,33351,True,True,True,True,True,True,,,,,,,,,,,,,,,,,0,0
2505,FL,ENCOMPASS HOME HEALTH OF FLORIDA,34232,True,True,True,True,True,True,3.5,94.9,98.9,99.8,99.7,86.1,82.0,96.8,72.3,69.0,76.8,76.8,71.7,65.8,14.8,12.4,2,1
2506,FL,SANTA FE HOME HEALTH CARE INC,33126,True,True,False,False,False,True,5.0,100.0,100.0,100.0,100.0,95.3,82.1,100.0,100.0,96.9,79.5,100.0,97.8,78.6,11.5,9.9,2,2
2507,FL,AMERICAN HOME HEALTH CARE CORP,33186,True,True,True,True,True,True,4.0,98.2,100.0,100.0,99.1,36.8,32.4,100.0,78.0,95.3,86.4,96.9,59.7,23.2,14.2,3.8,2,2
2508,FL,"INTEGRAL HOME HEALTH AGENCY, INC.",33166,True,True,True,True,True,True,4.5,95.2,100.0,100.0,99.2,73.8,44.4,100.0,100.0,76.7,93.8,100.0,83.8,,12.7,8.7,0,0
2509,FL,"GOLDEN YEARS HOME CARE, INC.",33014,True,True,True,False,False,True,2.5,94.8,,100.0,100.0,17.6,,99.0,82.4,56.6,78.0,72.2,35.9,29.6,12.4,9.4,0,0
2510,FL,A PLUS HOME CARE AGENCY INC,33030,True,True,True,True,True,True,,,,,,,,,,,,,,,,,0,0
2511,FL,PABEL HOME HEALTH CARE INC,33018,True,True,True,True,True,True,,,,,,,,,,,,,,,,,0,0
2512,FL,GLOBAL NURSING HOME HEALTH INC,33135,True,True,True,True,True,True,,100.0,100.0,,100.0,,,,,,,,,,,,0,0
2513,FL,ENCOMPASS HOME HEALTH OF FLORIDA,33321,True,True,True,True,True,True,4.5,99.3,100.0,100.0,100.0,56.5,65.2,100.0,75.7,76.6,84.5,90.5,86.2,76.2,12.7,11.2,2,2
2514,FL,CONFIDENT CARE OF FLORIDA CORP,32216,True,True,True,True,True,True,4.5,99.8,99.5,99.7,99.8,89.0,93.9,100.0,75.7,75.0,89.3,85.0,85.5,73.3,20.2,10.4,2,2
2515,FL,"HIGHLITE HOME CARE, INC.",33308,True,True,True,True,True,True,3.0,92.6,96.1,99.5,97.9,64.0,81.4,93.9,72.4,65.1,71.8,76.6,67.1,68.4,13.6,13.2,2,2
2516,FL,ACE HOMECARE,33761,True,True,True,True,True,True,,,,,,,,,,,,,,,,,1,2
2517,FL,K & D HOME HEALTH CARE CORP.,33317,True,True,True,True,True,True,,95.1,92.5,96.8,92.7,33.3,26.3,,,,,,,,,,0,0
2518,FL,CAIRO HOME CARE INC,33432,True,True,True,True,True,True,,,,,,,,,,,,,,,,,0,0
2519,FL,VILLAGE HOME CARE OF THE PALM BEACHES LLC,33426,True,True,True,True,True,True,5.0,100.0,99.1,99.3,100.0,97.4,88.4,94.0,86.5,94.0,91.7,77.7,89.6,83.7,13.6,11.1,2,2
2520,FL,PATIENT'S CHOICE HOME HEALTH CARE INC,33184,True,True,True,True,True,True,,,,,,,,,,,,,,,,,0,0
2521,FL,CARESOUTH HHA HOLDINGS OF PANAMA CITY LLC,32405,True,True,True,True,True,True,3.5,92.8,98.5,100.0,99.7,77.1,79.7,98.0,74.3,69.6,73.9,77.7,75.2,61.7,15.9,11.4,2,2
2522,FL,"ALL THE BEST HOME HEALTH SERVICES, INC.",33435,True,True,True,True,True,True,3.5,96.6,100.0,100.0,100.0,92.5,94.2,100.0,62.0,61.0,72.2,77.6,77.2,62.1,14.2,11.3,2,1
2523,FL,BON SECOURS ST PETERSBURG HOME CARE SERVICES INC,33716,True,True,True,True,True,True,4.0,97.6,99.2,100.0,99.8,90.5,82.3,100.0,77.6,73.5,80.8,78.1,78.0,70.2,17.4,11.1,2,2
2524,FL,KIDCARE NURSING SERVICES,33015,True,True,True,True,True,True,,,,,,,,,,,,,,,,,0,0
2525,FL,"ULTRA HEALTH CARE, INC.",33442,True,True,True,True,True,True,,,,,,,,,,,,,,,,,0,0
2526,FL,INTERCARE HOME HEALTH SERVICES INC,33173,True,True,True,False,True,True,5.0,98.3,99.4,99.4,100.0,90.3,96.1,94.3,91.0,80.1,89.6,100.0,96.2,96.8,12.1,7.3,0,0
2527,FL,AMEDISYS HOME HEALTH,33881,True,True,True,True,True,True,4.0,97.6,99.0,99.6,96.8,73.8,69.5,97.3,79.6,76.0,85.3,80.8,83.8,69.6,18.5,10.9,2,2
2528,FL,ALTERNATIVE MEDICAL HEALTHCARE SERVICES CORP,33155,True,True,True,True,True,True,2.0,89.3,91.7,,90.9,65.2,18.9,96.0,65.8,45.2,73.0,37.0,24.5,22.8,22.1,12.2,2,2
2529,FL,FIRST RN INC,33155,True,True,True,False,False,True,,,,,,,,,,,,,,,,,0,0
2530,FL,ONE AT HOME - DADE,33178,True,True,True,False,True,True,1.5,91.8,96.8,98.5,95.5,31.2,46.9,98.2,32.8,,29.5,41.9,25.5,19.7,,,0,0
2531,FL,GRAND OPPORTUNITY HOME HEALTH INC,33175,True,True,True,False,True,True,5.0,97.8,100.0,98.7,99.4,95.7,,100.0,97.1,65.6,100.0,100.0,100.0,79.6,,,0,0
2532,FL,BETTER LIVING HOME HEALTH AGENCY INC,33166,True,True,True,True,True,True,4.0,97.3,99.8,100.0,99.6,,,,85.3,93.3,90.2,91.4,31.0,46.1,14.6,9.2,2,2
2533,FL,ALPHA BRIDGE HOME HEALTH LLC,33805,True,True,True,True,True,True,3.0,92.4,88.0,97.0,93.5,83.2,85.5,,64.5,61.2,72.9,61.5,85.5,81.2,16.3,9.8,2,2
2534,FL,INNOVATION HOME HEALTH INC,33184,True,True,True,True,True,True,2.0,96.8,98.5,98.6,100.0,34.0,53.0,98.1,73.2,48.3,63.6,62.0,50.6,32.6,20.0,10.8,2,1
2535,FL,LOVABLE HOME HEALTH SERVICES CORP,33129,True,True,True,False,True,True,4.0,100.0,90.6,100.0,100.0,,,,99.3,67.1,83.8,100.0,93.5,19.9,13.4,3.5,0,0
2536,FL,PRECISE HOME CARE LLC,32256,True,True,True,True,True,True,4.5,100.0,99.6,99.8,99.9,68.1,67.0,99.9,81.7,76.1,85.0,83.3,80.2,75.5,17.2,9.7,1,2
2537,FL,PREMIER CARE HOMECARE LLC,34748,True,True,False,True,True,True,4.5,96.9,98.9,100.0,99.7,62.6,74.9,92.9,83.8,93.0,81.6,87.4,91.6,78.4,15.4,9.5,2,2
2538,FL,HUMANITY HOME HEALTH CARE INC,33144,True,True,True,False,True,True,,90.5,100.0,,,,,,,,,,,,,,0,0
2539,FL,PRIMARY MEDICAL STAFFING INC,33016,True,True,True,True,True,True,3.0,97.2,100.0,100.0,100.0,,80.0,,67.9,61.9,71.5,60.4,,65.2,25.2,14.6,2,1
2540,FL,INTEGRITY HEALTH SERVICES,32256,True,True,False,True,False,True,,,,,,,,,,,,,,,,,0,0
2541,FL,"LAKE CENTRE HOME CARE, LLC",34748,True,True,True,True,False,True,3.5,98.4,96.4,99.6,99.7,68.7,78.8,,72.6,70.2,79.5,79.7,76.4,55.0,14.3,10.0,2,2
2542,FL,ALL AROUND HOME HEALTH AGENCY INC,33172,True,True,True,True,False,True,3.5,100.0,97.6,,97.7,,40.5,,60.3,40.2,77.4,97.2,57.8,38.1,7.1,7.0,0,0
2543,FL,RX HOME HEALTH SERVICES INC,33181,True,True,True,True,True,True,4.0,94.4,99.1,100.0,98.6,59.3,58.0,98.5,78.7,78.6,87.7,78.1,83.5,65.9,13.6,7.5,2,2
2544,FL,E & V HEALTH CARE INC,33122,True,True,True,True,True,True,2.0,97.1,,98.4,100.0,36.5,27.3,,49.6,56.4,53.0,64.9,17.6,24.7,9.2,10.6,0,0
2545,FL,SIGNATURE HOMENOW,32701,True,True,True,True,True,True,3.5,98.3,99.2,100.0,99.6,91.3,95.3,100.0,71.7,67.3,79.1,73.5,75.1,62.6,21.2,12.4,2,2
2546,FL,HORIZON HOMECARE LLC,34655,True,True,True,True,True,True,4.0,99.2,99.8,99.5,98.2,87.7,94.1,99.2,74.7,70.2,77.3,75.1,80.5,72.1,16.8,9.2,1,2
2547,FL,GREYSTONE HOME HEALTH,33634,True,True,True,True,True,True,3.5,87.8,95.1,98.9,98.0,79.1,71.8,92.2,70.5,73.8,82.9,79.5,71.2,66.7,12.4,10.2,2,2
2548,FL,USA HOME HEALTH CARE AGENCY INC,33184,True,True,True,False,False,True,,,,,,,,,,,,,,,,,0,0
2549,FL,"PRESTIGE HOME CARE SERVICES OF BROWARD, INC.",33020,True,True,True,True,True,True,5.0,98.4,100.0,100.0,100.0,83.8,84.0,100.0,76.5,80.2,84.9,96.7,84.7,75.2,7.3,12.7,1,2
2550,FL,LIFECARE SOLUTIONS,33411,True,True,True,True,True,True,4.0,98.0,98.0,99.0,99.7,80.4,78.4,94.2,72.0,80.0,86.8,77.0,78.6,75.2,15.2,10.2,1,2
2551,FL,"VIRTUE HEALTH CARE SERVICES, INC",33023,True,True,True,True,True,True,,,,,,,,,,,,,,,,,0,0
2552,FL,SIGNATURE HOMENOW,33952,True,True,True,True,True,True,4.5,99.3,98.5,100.0,96.9,85.2,85.0,97.4,77.6,77.7,83.2,85.8,84.0,79.9,14.0,13.6,2,1
2553,FL,M D HOME HEALTH LLC,33407,True,True,True,True,True,True,4.5,100.0,99.5,100.0,100.0,97.5,97.2,,76.4,91.0,80.6,72.2,88.5,70.2,9.6,19.2,2,2
2554,FL,TWENTYFOUR SEVEN HOME HEALTH CARE INC,33467,True,True,True,True,True,True,,,,,,,,,,,,,,,,,0,0
2555,FL,SIGNATURE HOMENOW,33805,True,True,True,True,True,True,3.0,92.7,98.4,99.3,98.3,79.6,74.1,98.7,71.7,60.1,80.2,67.9,69.3,59.1,15.3,10.7,2,2
2556,FL,AMEDISYS HOME HEALTH,33426,True,True,True,True,True,True,4.5,97.7,99.6,99.5,98.1,81.9,72.0,98.5,81.7,77.9,86.9,87.7,85.4,78.0,13.6,12.8,1,2
2557,FL,"TRI-COUNTY HOMECARE OF FLORIDA, INC.",33020,True,True,True,True,True,True,4.0,98.8,100.0,100.0,100.0,71.2,71.4,100.0,82.5,59.4,88.7,97.2,87.5,80.1,23.1,11.2,1,2
2558,FL,CARING PEOPLE CERTIFIED SERVICES,33069,True,True,True,False,True,True,3.5,98.6,95.8,100.0,98.6,79.5,81.9,100.0,78.4,73.1,71.6,80.3,75.9,59.4,9.2,11.7,2,2
2559,FL,UTOPIA HOME CARE INC,33781,True,True,True,True,True,True,4.0,95.8,83.1,99.4,90.0,81.1,75.7,96.3,83.9,70.9,89.8,68.2,83.3,75.0,,,0,0
2560,FL,ENCOMPASS HOME HEALTH OF FLORIDA,34601,True,True,True,True,True,True,4.5,98.1,99.8,100.0,99.8,82.9,81.5,99.7,77.3,74.8,86.4,95.1,87.2,75.3,16.8,9.5,2,2
2561,FL,"ULTIMATE HOME CARE, INC",33009,True,True,True,True,True,True,4.0,100.0,98.6,100.0,100.0,53.1,,99.2,79.9,80.6,65.7,77.9,75.8,60.6,10.6,8.8,2,2
2562,FL,DISCOVERY AT HOME LLC,34134,True,True,True,True,True,True,5.0,100.0,100.0,100.0,100.0,97.5,100.0,100.0,97.1,100.0,100.0,93.5,100.0,100.0,14.8,14.0,2,2
2563,FL,A + QUALITY HOME HEALTH CARE,33323,True,True,False,False,False,True,,,,,,,,,,,,,,,,,0,0
2564,FL,HYGEIA HOME HEALTH LLC,33771,True,True,True,True,True,True,3.0,92.4,96.6,100.0,98.8,63.1,69.7,94.2,74.2,74.1,79.5,66.0,70.1,65.0,18.6,7.6,1,1
2565,FL,"PRN NURSING SERVICES, INC.",33134,True,True,True,True,True,True,,,,,,,,,,,,,,,,,0,0
2566,FL,BROOKDALE HOME HEALTH,33770,True,True,True,True,True,True,4.5,96.7,99.2,99.9,99.3,94.3,93.2,98.7,76.0,71.3,88.7,81.1,81.4,76.3,17.0,10.6,2,2
2567,FL,KEYSTONE HOME HEALTH INC,33765,True,True,True,True,True,True,3.5,94.0,96.2,99.0,98.2,85.5,86.4,95.2,64.9,76.8,67.3,83.2,92.7,63.0,18.0,10.9,1,2
2568,FL,"WEST HOME CARE, INC",33125,True,True,True,True,True,True,4.5,99.7,100.0,100.0,99.4,,,85.5,90.6,83.5,92.1,100.0,40.6,,9.9,5.7,0,0
2569,FL,FAMILY HOME HEALTH SERVICES,32935,True,True,True,True,True,True,4.0,91.8,97.5,100.0,99.6,79.9,86.4,92.2,82.5,76.8,88.4,82.6,80.1,73.8,18.4,10.0,2,2
2570,FL,"TOP QUALITY HOME CARE SERVICES, INC",33162,True,True,True,False,False,True,3.5,98.6,95.8,95.7,95.8,,,93.9,76.9,34.3,67.3,100.0,84.6,38.7,11.6,6.7,0,0
2571,FL,DOCTORS CHOICE HOME CARE INC,34238,True,True,True,True,True,True,4.5,99.6,99.0,99.3,99.2,78.3,85.8,98.3,76.1,74.9,80.9,80.4,79.3,71.5,14.5,11.0,2,2
2572,FL,AMERICAN HOME HEALTH AGENCY INC,33014,True,True,True,True,True,True,,,,,,,,,,,,,,,,,0,0
2573,FL,TRINITY HEALTH SERVICES INC,33155,True,True,True,True,True,True,,,,,,,,,,,,,,,,,2,2
2574,FL,CENTURY HOME CARE INC,33141,True,True,True,False,True,True,4.0,96.3,96.2,,96.3,65.0,44.4,,,91.1,91.6,68.8,,,9.3,14.5,2,2
2575,FL,GOLDEN HEART HOME HEALTH CARE,32073,True,True,True,True,True,True,3.5,90.2,96.2,100.0,93.9,18.2,,97.5,86.7,97.4,82.5,31.2,91.9,80.2,14.4,17.8,0,0
2576,FL,"READY CARE HOME HEALTH, INC",33145,True,True,True,True,True,True,,100.0,100.0,,100.0,,90.0,,,,,,,,,,0,0
2577,FL,ALL FLORIDA HOME HEALTH SERVICES INC,33166,True,True,True,False,True,True,3.0,93.0,100.0,100.0,97.7,51.9,69.8,,75.8,65.5,75.3,78.3,48.1,28.6,,,0,0
2578,FL,HORIZON HOME HEALTH CARE INC,33030,True,True,False,False,True,True,4.0,99.4,99.4,100.0,100.0,79.3,76.4,,78.5,83.4,75.6,87.3,55.0,34.0,14.4,11.2,0,0
2579,FL,"WORLD FIRST CLASS HOME HEALTH, INC",33021,True,True,True,True,True,True,,,,,,,,,,,,,,,15.8,5.6,0,0
2580,FL,NEILI HOME HEALTH CARE AGENCY INC,33176,True,True,True,False,True,True,5.0,100.0,98.7,100.0,100.0,70.7,81.8,100.0,100.0,73.1,93.3,100.0,100.0,27.8,8.4,8.2,0,0
2581,FL,PSN HEALTH CARE CORP,33015,True,True,True,True,True,True,4.5,100.0,100.0,100.0,97.4,82.8,100.0,,88.9,95.7,97.4,90.8,91.1,70.0,20.3,5.3,0,0
2582,FL,SIGNATURE HOMENOW,34470,True,True,True,True,True,True,4.0,96.8,99.4,99.8,96.0,76.5,86.6,98.7,76.9,72.7,79.9,78.8,78.3,74.0,17.0,10.1,2,2
2583,FL,HEALTH AT HOME,34990,True,True,True,True,True,True,4.5,98.6,100.0,100.0,100.0,92.5,94.4,100.0,76.1,75.2,83.3,78.1,93.9,72.2,12.1,15.0,2,2
2584,FL,"RAINBOW HOME HEALTH SERVICES, LLC",33014,True,True,True,False,True,True,4.0,100.0,100.0,100.0,93.3,,65.5,,100.0,90.9,100.0,91.6,22.8,100.0,14.3,12.4,0,0
2585,FL,CAIRO HOME CARE-BROWARD,33029,True,True,True,True,True,True,4.0,97.1,97.0,100.0,97.0,86.4,76.5,,80.8,84.1,89.2,100.0,44.4,46.5,,,0,0
2586,FL,NURSING ALLIANCE HOME CARE INC,33155,True,True,True,True,False,True,3.5,98.6,99.3,100.0,100.0,29.0,20.3,,78.3,58.6,96.4,99.9,26.7,14.8,10.9,6.4,0,0
2587,FL,ACUTE HOME HEALTHCARE INC,32811,True,True,True,True,True,True,2.0,86.1,94.3,99.6,96.9,53.4,46.3,92.7,59.0,62.7,71.5,76.0,62.6,56.0,18.1,12.8,2,2
2588,FL,WEST COAST HOME HEALTH CARE AGENCY INC,34109,True,True,True,True,True,True,4.0,97.6,100.0,100.0,100.0,88.3,91.9,96.5,67.4,74.5,76.9,81.2,62.6,49.2,11.7,18.0,2,2
2589,FL,ACA HOME HEALTH LLC,33134,True,True,True,True,True,True,,,,,,,,,,,,,,,16.8,6.9,2,2
2590,FL,HOLISTIC NURSING CARE AGENCY INC,33126,True,True,True,False,True,True,,,,,,,,,,,,,,,,,0,0
2591,FL,GRANNY'S HOME HEALTH CARE INC,33126,True,True,True,True,True,True,4.5,98.2,100.0,100.0,98.6,87.6,86.3,100.0,52.5,78.2,99.7,95.5,96.2,72.4,19.1,5.7,2,2
2592,FL,MAXIMUM CARE HOME HEALTH INC,33012,True,True,True,True,True,True,3.0,95.7,99.5,100.0,100.0,,44.8,,97.8,61.3,87.0,73.1,19.0,26.2,15.5,8.5,0,0
2593,FL,SOUTH BEST HOME CARE INC,33904,True,True,False,False,False,True,4.5,100.0,100.0,100.0,100.0,78.8,85.2,100.0,78.5,78.7,74.6,82.2,74.5,69.9,15.0,8.7,2,3
2594,FL,ADVANTAGE HOME HEALTH CARE GENERAL SERVICES INC,32707,True,True,True,True,True,True,1.5,80.3,93.4,100.0,99.5,36.3,42.7,98.5,45.9,44.5,54.0,59.2,41.6,29.4,,4.4,0,0
2595,FL,ANDIV HEALTH CARE INC,33186,True,True,False,False,True,True,3.5,100.0,100.0,100.0,100.0,,,,87.3,70.2,73.7,96.3,39.0,31.3,22.1,6.6,0,0
2596,FL,HOME MED SOLUTIONS LLC,33129,True,True,True,False,False,True,4.0,94.1,100.0,100.0,100.0,69.4,84.0,95.2,75.4,84.0,63.1,87.0,92.0,42.6,10.9,9.0,0,0
2597,FL,IC QUALITY HEALTH CORP,33161,True,True,True,True,False,True,2.5,96.0,95.0,97.4,100.0,,70.0,100.0,63.6,62.9,70.0,96.6,20.9,36.7,16.4,11.2,0,0
2598,FL,LIGHT HOME CARE INC THE,33172,True,True,True,True,True,True,,100.0,95.0,,90.0,,,,,,,,,,,,0,0
2599,FL,"SUPRA HOME HEALTH, INC",33026,True,True,True,True,True,True,4.5,98.6,99.3,100.0,100.0,84.1,93.0,100.0,99.5,95.8,95.8,96.1,100.0,96.3,20.8,3.8,1,2
2600,FL,HEALTH AT HOME,33426,True,True,True,True,True,True,3.5,91.9,99.3,100.0,96.6,89.9,91.5,94.7,75.3,69.5,86.4,67.0,79.7,78.6,15.4,14.6,1,2
2601,FL,ORIGIN HOME HEALTH CARE,33572,True,True,True,True,False,True,4.0,99.5,100.0,100.0,,45.8,52.7,100.0,80.8,75.5,82.0,87.2,76.4,49.5,14.3,11.5,2,2
2602,FL,PROVIDENCE HOME CARE OF FLORIDA,34677,True,True,True,True,True,True,,,,,,,,,,,,,,,,,0,0
2603,FL,PLATINUMONE HOME HEALTH SERVICES LLC,33014,True,True,True,False,True,True,4.0,100.0,98.9,100.0,100.0,47.6,68.4,,61.8,83.6,75.1,99.8,92.6,36.8,10.4,7.3,0,0
2604,FL,"PROVIDENCE HEALTHCARE SERVICES, INC",33166,True,True,True,False,True,True,4.5,100.0,100.0,100.0,100.0,77.3,100.0,100.0,100.0,74.8,96.9,100.0,98.8,87.2,17.6,13.4,0,0
2605,FL,"EXCELLENT CARE HOME HEALTH SERVICES, INC",33126,True,True,True,False,True,True,4.0,98.5,99.5,100.0,99.5,45.8,18.0,100.0,92.4,77.0,100.0,99.6,63.9,35.9,14.6,8.4,2,2
2606,FL,FLORIDA HOMECARE SPECIALISTS INC,32159,True,True,True,True,True,True,4.5,99.5,99.7,100.0,100.0,77.2,80.9,98.3,78.0,80.7,83.4,83.6,83.3,69.6,17.5,8.1,1,2
2607,FL,HOME CARE UNLIMITED INC,33186,True,True,True,False,True,True,5.0,98.3,100.0,100.0,98.9,93.7,87.2,100.0,95.1,77.9,83.0,100.0,84.5,48.0,9.6,8.7,2,2
2608,FL,TRINITY SENIOR CARE INC,33185,True,True,True,False,True,True,,,,,,,,,,,,,,,,,0,0
2609,FL,UNITED CARE HOME HEALTH SERVICES LLC,33330,True,True,True,True,True,True,4.0,99.4,99.7,99.9,99.7,77.7,74.8,100.0,67.3,71.0,75.6,81.8,81.7,74.8,14.3,11.0,2,2
2610,FL,"CONTINENTAL HOME HEALTH CARE, INC",33155,True,True,True,False,True,True,5.0,100.0,100.0,100.0,100.0,84.0,97.8,,100.0,100.0,98.4,100.0,100.0,100.0,12.9,5.9,0,0
2611,FL,HOME CARE PLUS INC,33172,True,True,True,True,True,True,4.5,98.7,100.0,99.6,99.7,84.3,88.7,100.0,73.9,68.4,80.9,83.1,69.3,43.2,11.0,13.3,2,2
2612,FL,I & S HOME HEALTH AGENCY INC,33174,True,True,True,False,False,True,4.5,100.0,100.0,100.0,100.0,64.3,100.0,100.0,97.6,94.7,100.0,98.6,,77.4,20.0,9.0,0,0
2613,FL,APOGEE HOME HEALTH,33484,True,True,True,True,True,True,4.5,92.7,96.0,100.0,99.0,73.8,89.6,100.0,80.3,76.8,91.4,89.7,90.5,64.3,11.6,14.4,2,2
2614,FL,CLT HOME CARE INC,33125,True,True,True,True,False,True,4.5,99.2,100.0,100.0,100.0,61.4,36.8,100.0,89.4,73.6,82.1,100.0,93.8,33.6,17.7,4.5,0,0
2615,FL,THE ROADS HOME HEALTH CARE INC,33126,True,True,True,True,True,True,2.5,94.7,97.3,100.0,100.0,70.3,52.1,96.4,52.9,43.2,51.8,84.7,36.6,39.9,14.3,10.2,2,2
2616,FL,HAVEN HOME HEALTH CARE,33606,True,True,True,True,True,True,2.5,96.7,97.7,99.4,98.2,42.9,78.6,98.6,68.1,66.6,80.5,51.7,58.2,51.3,,,2,2
2617,FL,EXCELLENT HOME CARE GIVERS INC,33012,True,True,True,True,True,True,2.5,94.4,97.2,96.8,97.2,87.1,37.1,96.6,46.2,48.9,52.0,81.2,54.2,19.0,7.2,17.4,0,0
2618,FL,ABSOLUTE HOME HEALTH INC,33186,True,True,True,True,True,True,4.5,95.8,99.0,100.0,99.1,94.4,98.6,98.9,78.3,71.8,85.5,96.5,81.0,42.0,10.5,2.6,2,2
2619,FL,CLP HOME HEALTH SERVICES CORP,33155,True,True,True,True,True,False,3.5,100.0,97.9,100.0,100.0,,100.0,,66.2,97.4,100.0,98.2,18.7,47.1,16.3,8.8,0,0
2620,FL,GENTIVA HEALTH SERVICES,32448,True,True,True,True,True,True,3.5,94.4,99.0,99.9,98.9,77.5,75.7,98.0,78.2,72.3,81.2,79.1,79.7,64.0,18.3,16.4,2,1
2621,FL,AMC HOME HEALTH INC,33172,True,True,True,True,True,True,,,,,,,,,,,,,,,,,0,0
2622,FL,CADC HOME HEALTH CENTER INC,33144,True,True,True,False,True,True,2.5,93.0,81.0,100.0,100.0,,,,64.2,59.8,63.1,91.0,34.6,37.6,,,0,0
2623,FL,DIVINE HEALTH CARE CORP,33135,True,True,True,True,True,True,4.0,98.7,99.3,99.3,100.0,,,100.0,80.1,96.4,70.0,92.1,83.3,30.4,20.5,9.9,0,0
2624,FL,DOCTORS CHOICE HOME CARE INC,34208,True,True,True,True,True,True,4.5,99.4,99.6,99.9,99.4,74.0,77.4,99.2,82.0,75.5,91.7,88.0,83.7,73.8,18.8,10.7,2,1
2625,FL,CARITAS HOME HEALTH CARE INC,33185,True,True,True,True,True,True,4.0,93.7,99.4,100.0,100.0,77.8,,100.0,96.7,69.4,93.5,89.4,73.6,43.0,14.7,6.7,2,2
2626,FL,"ETERNITY LIFE HOME HEALTH CARE, INC",33014,True,True,True,True,True,True,3.5,98.8,99.6,100.0,100.0,30.6,41.9,100.0,78.7,39.4,90.2,100.0,,21.2,11.2,4.3,0,0
2627,FL,SARASOTA HOME HEALTH CARE AGENCY LLC,34229,True,True,True,True,True,True,4.5,98.3,99.3,99.8,100.0,74.8,84.4,100.0,79.0,84.1,79.2,89.3,84.2,73.0,13.2,11.6,2,2
2628,FL,COMPLETE HOME CARE OF THE PALM BEACHES LLC,33432,True,True,False,True,True,True,4.0,98.8,99.2,99.9,100.0,80.4,85.9,98.0,71.4,68.7,73.0,78.6,70.4,63.2,13.5,10.5,1,2
2629,FL,BRICKELL HOME HEALTH SERVICES INC,33155,True,True,True,True,True,True,2.0,98.0,100.0,100.0,100.0,,,93.3,42.4,31.9,,76.4,,39.6,19.7,11.3,0,0
2630,FL,"SKILLED CARE, INC.",33408,True,True,True,True,True,True,5.0,99.1,99.5,97.9,100.0,88.6,91.1,99.3,82.1,90.8,90.8,96.1,89.8,74.7,15.0,11.4,2,2
2631,FL,TREND HOME HEALTH SERVICES,33169,True,True,True,True,True,True,3.0,71.4,100.0,96.7,95.0,83.3,34.2,,61.5,45.8,76.4,81.6,44.4,42.7,,,0,0
2632,FL,"ALLIANCE HOME HEALTH OF BROWARD, INC.",33328,True,True,True,True,True,True,3.5,94.3,98.6,100.0,97.1,80.4,82.4,91.7,82.4,37.6,86.8,92.5,77.3,63.1,14.7,20.2,0,0
2633,FL,COMPASSIONATE HOME CARE INC,33542,True,True,True,True,True,True,,,,,,,,,,,,,,,,,0,0
2634,FL,FIRST CARE HOME SERVICES INC,33162,True,True,True,True,True,True,,,,,,,,,,,,,,,,,0,0
2635,FL,HOME HEALTH CONNECTION INC,33544,True,True,True,True,True,True,3.0,92.1,97.8,100.0,100.0,73.3,74.2,95.7,68.6,71.7,74.3,85.7,48.1,57.7,24.1,2.5,0,0
