,hospital_name,state,readmission_ratio,predicted_rate,expected_rate,zip
2095,PIKEVILLE MEDICAL CENTER,KY,1.1267,20.3,18.0,41501
2096,PIKEVILLE MEDICAL CENTER,KY,1.1267,20.3,18.0,41501
2097,PIKEVILLE MEDICAL CENTER,KY,1.1267,20.3,18.0,41501
2098,PIKEVILLE MEDICAL CENTER,KY,1.1267,20.3,18.0,41501
2099,PIKEVILLE MEDICAL CENTER,KY,1.079,17.3,16.1,41501
2100,PIKEVILLE MEDICAL CENTER,KY,1.079,17.3,16.1,41501
2101,PIKEVILLE MEDICAL CENTER,KY,1.079,17.3,16.1,41501
2102,PIKEVILLE MEDICAL CENTER,KY,1.079,17.3,16.1,41501
2103,PIKEVILLE MEDICAL CENTER,KY,0.9658,19.7,20.3,41501
2104,PIKEVILLE MEDICAL CENTER,KY,0.9658,19.7,20.3,41501
2105,PIKEVILLE MEDICAL CENTER,KY,0.9658,19.7,20.3,41501
2106,PIKEVILLE MEDICAL CENTER,KY,0.9658,19.7,20.3,41501
2107,PIKEVILLE MEDICAL CENTER,KY,1.1141,26.4,23.7,41501
2108,PIKEVILLE MEDICAL CENTER,KY,1.1141,26.4,23.7,41501
2109,PIKEVILLE MEDICAL CENTER,KY,1.1141,26.4,23.7,41501
2110,PIKEVILLE MEDICAL CENTER,KY,1.1141,26.4,23.7,41501
2111,PIKEVILLE MEDICAL CENTER,KY,0.8978,4.1,4.6,41501
2112,PIKEVILLE MEDICAL CENTER,KY,0.8978,4.1,4.6,41501
2113,PIKEVILLE MEDICAL CENTER,KY,0.8978,4.1,4.6,41501
2114,PIKEVILLE MEDICAL CENTER,KY,0.8978,4.1,4.6,41501
2115,BAPTIST HEALTH RICHMOND,KY,1.093,19.0,17.4,40475
2116,BAPTIST HEALTH RICHMOND,KY,0.9281,19.0,20.4,40475
2117,BAPTIST HEALTH RICHMOND,KY,0.9139,4.7,5.1,40475
2118,BAPTIST HEALTH RICHMOND,KY,0.991,17.3,17.4,40475
2119,BAPTIST HEALTH RICHMOND,KY,1.046,23.4,22.3,40475
2120,HARLAN ARH HOSPITAL,KY,1.2522,21.8,17.4,40831
2121,HARLAN ARH HOSPITAL,KY,1.3544,27.7,20.5,40831
2122,HARLAN ARH HOSPITAL,KY,1.4113,31.3,22.2,40831
2123,TUG VALLEY ARH REGIONAL MEDICAL CENTER,KY,1.0916,20.8,19.1,41503
2124,TUG VALLEY ARH REGIONAL MEDICAL CENTER,KY,1.0916,20.8,19.1,41503
2125,TUG VALLEY ARH REGIONAL MEDICAL CENTER,KY,1.1964,27.9,23.4,41503
2126,TUG VALLEY ARH REGIONAL MEDICAL CENTER,KY,1.1964,27.9,23.4,41503
2127,TUG VALLEY ARH REGIONAL MEDICAL CENTER,KY,1.1795,20.4,17.3,41503
2128,TUG VALLEY ARH REGIONAL MEDICAL CENTER,KY,1.1795,20.4,17.3,41503
2129,TAYLOR REGIONAL HOSPITAL,KY,1.0092,23.7,23.5,42718
2130,TAYLOR REGIONAL HOSPITAL,KY,0.97,4.4,4.6,42718
2131,TAYLOR REGIONAL HOSPITAL,KY,0.9053,19.6,21.6,42718
2132,TAYLOR REGIONAL HOSPITAL,KY,0.9787,24.0,24.5,42718
2133,TAYLOR REGIONAL HOSPITAL,KY,0.8927,16.6,18.6,42718
2134,CLARK REGIONAL MEDICAL CENTER,KY,0.9964,16.0,16.0,40391
2135,CLARK REGIONAL MEDICAL CENTER,KY,1.0171,6.0,5.9,40391
2136,CLARK REGIONAL MEDICAL CENTER,KY,0.9987,19.3,19.3,40391
2137,CLARK REGIONAL MEDICAL CENTER,KY,0.9358,20.4,21.8,40391
2138,CLARK REGIONAL MEDICAL CENTER,KY,0.9355,14.9,15.9,40391
2139,BAPTIST HEALTH MADISONVILLE,KY,1.1111,21.7,19.5,42431
2140,BAPTIST HEALTH MADISONVILLE,KY,0.9291,14.5,15.6,42431
2141,BAPTIST HEALTH MADISONVILLE,KY,1.04,23.3,22.4,42431
2142,BAPTIST HEALTH MADISONVILLE,KY,1.0523,5.1,4.8,42431
2143,BAPTIST HEALTH MADISONVILLE,KY,1.0038,17.1,17.0,42431
2144,BAPTIST HEALTH MADISONVILLE,KY,0.9573,15.1,15.8,42431
2145,GEORGETOWN COMMUNITY HOSPITAL,KY,1.0437,22.0,21.1,40324
2146,GEORGETOWN COMMUNITY HOSPITAL,KY,0.9653,15.6,16.2,40324
2147,GEORGETOWN COMMUNITY HOSPITAL,KY,1.0015,17.2,17.2,40324
2148,BAPTIST HEALTH LEXINGTON,KY,1.0058,15.4,15.3,40503
2149,BAPTIST HEALTH LEXINGTON,KY,1.0058,15.4,15.3,40503
2150,BAPTIST HEALTH LEXINGTON,KY,0.9074,12.2,13.4,40503
2151,BAPTIST HEALTH LEXINGTON,KY,0.9074,12.2,13.4,40503
2152,BAPTIST HEALTH LEXINGTON,KY,0.9227,3.9,4.3,40503
2153,BAPTIST HEALTH LEXINGTON,KY,0.9227,3.9,4.3,40503
2154,BAPTIST HEALTH LEXINGTON,KY,0.91,15.6,17.2,40503
2155,BAPTIST HEALTH LEXINGTON,KY,0.91,15.6,17.2,40503
2156,BAPTIST HEALTH LEXINGTON,KY,0.922,20.5,22.2,40503
2157,BAPTIST HEALTH LEXINGTON,KY,0.922,20.5,22.2,40503
2158,BAPTIST HEALTH LEXINGTON,KY,0.9189,19.1,20.8,40503
2159,BAPTIST HEALTH LEXINGTON,KY,0.9189,19.1,20.8,40503
2160,BAPTIST HEALTH PADUCAH,KY,1.1746,5.5,4.7,42003
2161,BAPTIST HEALTH PADUCAH,KY,1.0251,17.6,17.2,42003
2162,BAPTIST HEALTH PADUCAH,KY,0.9265,12.2,13.2,42003
2163,BAPTIST HEALTH PADUCAH,KY,0.9896,21.3,21.5,42003
2164,BAPTIST HEALTH PADUCAH,KY,0.9793,15.2,15.6,42003
2165,BAPTIST HEALTH PADUCAH,KY,1.0267,22.8,22.2,42003
2166,OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,LA,1.0145,16.0,15.7,70808
2167,OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,LA,1.0056,13.3,13.2,70808
2168,OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,LA,0.8465,16.6,19.6,70808
2169,OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,LA,0.9152,18.6,20.3,70808
2170,OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,LA,0.9118,14.1,15.5,70808
2171,OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,LA,0.9618,4.2,4.4,70808
2172,BATON ROUGE GENERAL MEDICAL CENTER,LA,0.9971,15.6,15.6,70806
2173,BATON ROUGE GENERAL MEDICAL CENTER,LA,0.9971,15.6,15.6,70806
2174,BATON ROUGE GENERAL MEDICAL CENTER,LA,0.9971,15.6,15.6,70809
2175,BATON ROUGE GENERAL MEDICAL CENTER,LA,0.9971,15.6,15.6,70806
2176,BATON ROUGE GENERAL MEDICAL CENTER,LA,0.8279,10.8,13.0,70806
2177,BATON ROUGE GENERAL MEDICAL CENTER,LA,0.8279,10.8,13.0,70806
2178,BATON ROUGE GENERAL MEDICAL CENTER,LA,0.8279,10.8,13.0,70809
2179,BATON ROUGE GENERAL MEDICAL CENTER,LA,0.8279,10.8,13.0,70806
2180,BATON ROUGE GENERAL MEDICAL CENTER,LA,0.9884,20.4,20.7,70806
2181,BATON ROUGE GENERAL MEDICAL CENTER,LA,0.9884,20.4,20.7,70806
2182,BATON ROUGE GENERAL MEDICAL CENTER,LA,0.9884,20.4,20.7,70809
2183,BATON ROUGE GENERAL MEDICAL CENTER,LA,0.9884,20.4,20.7,70806
2184,BATON ROUGE GENERAL MEDICAL CENTER,LA,1.0221,21.3,20.8,70806
2185,BATON ROUGE GENERAL MEDICAL CENTER,LA,1.0221,21.3,20.8,70806
2186,BATON ROUGE GENERAL MEDICAL CENTER,LA,1.0221,21.3,20.8,70809
2187,BATON ROUGE GENERAL MEDICAL CENTER,LA,1.0221,21.3,20.8,70806
2188,BATON ROUGE GENERAL MEDICAL CENTER,LA,1.2371,5.4,4.4,70806
2189,BATON ROUGE GENERAL MEDICAL CENTER,LA,1.2371,5.4,4.4,70806
2190,BATON ROUGE GENERAL MEDICAL CENTER,LA,1.2371,5.4,4.4,70809
2191,BATON ROUGE GENERAL MEDICAL CENTER,LA,1.2371,5.4,4.4,70806
2192,BATON ROUGE GENERAL MEDICAL CENTER,LA,1.0461,17.0,16.3,70806
2193,BATON ROUGE GENERAL MEDICAL CENTER,LA,1.0461,17.0,16.3,70806
2194,BATON ROUGE GENERAL MEDICAL CENTER,LA,1.0461,17.0,16.3,70809
2195,BATON ROUGE GENERAL MEDICAL CENTER,LA,1.0461,17.0,16.3,70806
2196,WEST CARROLL MEMORIAL HOSPITAL,LA,0.9711,16.7,17.2,71263
2197,WEST CARROLL MEMORIAL HOSPITAL,LA,1.0441,23.3,22.3,71263
2198,WEST CARROLL MEMORIAL HOSPITAL,LA,0.9675,16.6,17.2,71263
2199,NORTHERN LOUISIANA MEDICAL CENTER,LA,0.942,14.2,15.1,71270
2200,NORTHERN LOUISIANA MEDICAL CENTER,LA,0.942,14.2,15.1,71270
2201,NORTHERN LOUISIANA MEDICAL CENTER,LA,0.942,14.2,15.1,71270
2202,NORTHERN LOUISIANA MEDICAL CENTER,LA,1.0618,17.3,16.2,71270
2203,NORTHERN LOUISIANA MEDICAL CENTER,LA,1.0618,17.3,16.2,71270
2204,NORTHERN LOUISIANA MEDICAL CENTER,LA,1.0618,17.3,16.2,71270
2205,NORTHERN LOUISIANA MEDICAL CENTER,LA,1.0471,21.8,20.8,71270
2206,NORTHERN LOUISIANA MEDICAL CENTER,LA,1.0471,21.8,20.8,71270
2207,NORTHERN LOUISIANA MEDICAL CENTER,LA,1.0471,21.8,20.8,71270
2208,NORTHERN LOUISIANA MEDICAL CENTER,LA,1.0403,5.0,4.8,71270
2209,NORTHERN LOUISIANA MEDICAL CENTER,LA,1.0403,5.0,4.8,71270
2210,NORTHERN LOUISIANA MEDICAL CENTER,LA,1.0403,5.0,4.8,71270
2211,NORTHERN LOUISIANA MEDICAL CENTER,LA,0.9927,17.6,17.8,71270
2212,NORTHERN LOUISIANA MEDICAL CENTER,LA,0.9927,17.6,17.8,71270
2213,NORTHERN LOUISIANA MEDICAL CENTER,LA,0.9927,17.6,17.8,71270
2214,UNIVERSITY HEALTH SHREVEPORT,LA,1.052,16.8,16.0,71103
2215,UNIVERSITY HEALTH SHREVEPORT,LA,1.052,16.8,16.0,71103
2216,UNIVERSITY HEALTH SHREVEPORT,LA,1.052,16.8,16.0,71103
2217,UNIVERSITY HEALTH SHREVEPORT,LA,1.052,16.8,16.0,71130
2218,UNIVERSITY HEALTH SHREVEPORT,LA,1.052,16.8,16.0,71103
2219,UNIVERSITY HEALTH SHREVEPORT,LA,1.0153,16.0,15.7,71103
2220,UNIVERSITY HEALTH SHREVEPORT,LA,1.0153,16.0,15.7,71103
2221,UNIVERSITY HEALTH SHREVEPORT,LA,1.0153,16.0,15.7,71103
2222,UNIVERSITY HEALTH SHREVEPORT,LA,1.0153,16.0,15.7,71130
2223,UNIVERSITY HEALTH SHREVEPORT,LA,1.0153,16.0,15.7,71103
2224,UNIVERSITY HEALTH SHREVEPORT,LA,1.2313,26.1,21.2,71103
2225,UNIVERSITY HEALTH SHREVEPORT,LA,1.2313,26.1,21.2,71103
2226,UNIVERSITY HEALTH SHREVEPORT,LA,1.2313,26.1,21.2,71103
2227,UNIVERSITY HEALTH SHREVEPORT,LA,1.2313,26.1,21.2,71130
2228,UNIVERSITY HEALTH SHREVEPORT,LA,1.2313,26.1,21.2,71103
2229,UNIVERSITY HEALTH SHREVEPORT,LA,1.0696,20.4,19.1,71103
2230,UNIVERSITY HEALTH SHREVEPORT,LA,1.0696,20.4,19.1,71103
2231,UNIVERSITY HEALTH SHREVEPORT,LA,1.0696,20.4,19.1,71103
2232,UNIVERSITY HEALTH SHREVEPORT,LA,1.0696,20.4,19.1,71130
2233,UNIVERSITY HEALTH SHREVEPORT,LA,1.0696,20.4,19.1,71103
2234,UNIVERSITY HEALTH SHREVEPORT,LA,1.0423,4.0,3.8,71103
2235,UNIVERSITY HEALTH SHREVEPORT,LA,1.0423,4.0,3.8,71103
2236,UNIVERSITY HEALTH SHREVEPORT,LA,1.0423,4.0,3.8,71103
2237,UNIVERSITY HEALTH SHREVEPORT,LA,1.0423,4.0,3.8,71130
2238,UNIVERSITY HEALTH SHREVEPORT,LA,1.0423,4.0,3.8,71103
2239,ALLEN PARISH HOSPITAL,LA,0.9398,12.8,13.6,70648
2240,ALLEN PARISH HOSPITAL,LA,0.9398,12.8,13.6,70648
2241,FRANKLIN MEDICAL CENTER,LA,1.0512,25.1,23.9,71366
2242,FRANKLIN MEDICAL CENTER,LA,0.9873,20.7,21.0,71366
2243,FRANKLIN MEDICAL CENTER,LA,1.1095,19.1,17.2,71366
2244,LASALLE GENERAL HOSPITAL,LA,0.9488,21.9,23.0,71342
2245,LASALLE GENERAL HOSPITAL,LA,0.9942,17.4,17.5,71342
2246,LASALLE GENERAL HOSPITAL,LA,0.9989,18.8,18.8,71342
2247,EAST JEFFERSON GENERAL HOSPITAL,LA,0.8847,18.6,21.1,70006
2248,EAST JEFFERSON GENERAL HOSPITAL,LA,0.8847,18.6,21.1,70006
2249,EAST JEFFERSON GENERAL HOSPITAL,LA,0.8847,18.6,21.1,70065
2250,EAST JEFFERSON GENERAL HOSPITAL,LA,0.9552,16.7,17.5,70006
2251,EAST JEFFERSON GENERAL HOSPITAL,LA,0.9552,16.7,17.5,70006
2252,EAST JEFFERSON GENERAL HOSPITAL,LA,0.9552,16.7,17.5,70065
2253,EAST JEFFERSON GENERAL HOSPITAL,LA,0.901,15.4,17.1,70006
2254,EAST JEFFERSON GENERAL HOSPITAL,LA,0.901,15.4,17.1,70006
2255,EAST JEFFERSON GENERAL HOSPITAL,LA,0.901,15.4,17.1,70065
2256,EAST JEFFERSON GENERAL HOSPITAL,LA,0.981,20.2,20.6,70006
2257,EAST JEFFERSON GENERAL HOSPITAL,LA,0.981,20.2,20.6,70006
2258,EAST JEFFERSON GENERAL HOSPITAL,LA,0.981,20.2,20.6,70065
2259,EAST JEFFERSON GENERAL HOSPITAL,LA,1.0739,4.6,4.3,70006
2260,EAST JEFFERSON GENERAL HOSPITAL,LA,1.0739,4.6,4.3,70006
2261,EAST JEFFERSON GENERAL HOSPITAL,LA,1.0739,4.6,4.3,70065
2262,EAST JEFFERSON GENERAL HOSPITAL,LA,0.9238,13.4,14.5,70006
2263,EAST JEFFERSON GENERAL HOSPITAL,LA,0.9238,13.4,14.5,70006
2264,EAST JEFFERSON GENERAL HOSPITAL,LA,0.9238,13.4,14.5,70065
2265,RICHARDSON MEDICAL CENTER,LA,0.9817,16.0,16.3,71269
2266,RICHARDSON MEDICAL CENTER,LA,0.9817,16.0,16.3,71269
2267,RICHARDSON MEDICAL CENTER,LA,0.9817,16.0,16.3,71269
2268,RICHARDSON MEDICAL CENTER,LA,0.9817,16.0,16.3,71269
2269,RICHARDSON MEDICAL CENTER,LA,1.1124,16.9,15.2,71269
2270,RICHARDSON MEDICAL CENTER,LA,1.1124,16.9,15.2,71269
2271,RICHARDSON MEDICAL CENTER,LA,1.1124,16.9,15.2,71269
2272,RICHARDSON MEDICAL CENTER,LA,1.1124,16.9,15.2,71269
2273,RICHARDSON MEDICAL CENTER,LA,1.0965,23.1,21.1,71269
2274,RICHARDSON MEDICAL CENTER,LA,1.0965,23.1,21.1,71269
2275,RICHARDSON MEDICAL CENTER,LA,1.0965,23.1,21.1,71269
2276,RICHARDSON MEDICAL CENTER,LA,1.0965,23.1,21.1,71269
2277,GLENWOOD REGIONAL MEDICAL CENTER,LA,1.1138,18.2,16.3,71291
2278,GLENWOOD REGIONAL MEDICAL CENTER,LA,0.9814,19.0,19.4,71291
2279,GLENWOOD REGIONAL MEDICAL CENTER,LA,0.8561,4.1,4.8,71291
2280,GLENWOOD REGIONAL MEDICAL CENTER,LA,1.0731,14.3,13.3,71291
2281,GLENWOOD REGIONAL MEDICAL CENTER,LA,1.0865,23.8,21.9,71291
2282,GLENWOOD REGIONAL MEDICAL CENTER,LA,1.0364,18.2,17.5,71291
2283,MERCY REGIONAL MEDICAL CENTER,LA,1.0315,17.2,16.7,70586
2284,MERCY REGIONAL MEDICAL CENTER,LA,1.0315,17.2,16.7,70586
2285,MERCY REGIONAL MEDICAL CENTER,LA,0.9735,19.3,19.9,70586
2286,MERCY REGIONAL MEDICAL CENTER,LA,0.9735,19.3,19.9,70586
2287,MERCY REGIONAL MEDICAL CENTER,LA,0.9971,5.3,5.3,70586
2288,MERCY REGIONAL MEDICAL CENTER,LA,0.9971,5.3,5.3,70586
2289,MERCY REGIONAL MEDICAL CENTER,LA,0.9818,17.3,17.6,70586
2290,MERCY REGIONAL MEDICAL CENTER,LA,0.9818,17.3,17.6,70586
2291,MERCY REGIONAL MEDICAL CENTER,LA,1.0343,22.3,21.5,70586
2292,MERCY REGIONAL MEDICAL CENTER,LA,1.0343,22.3,21.5,70586
2293,LAKEVIEW REGIONAL MEDICAL CENTER,LA,1.0481,17.7,16.9,70433
2294,LAKEVIEW REGIONAL MEDICAL CENTER,LA,1.0481,17.7,16.9,70433
2295,LAKEVIEW REGIONAL MEDICAL CENTER,LA,1.0481,17.7,16.9,70433
2296,LAKEVIEW REGIONAL MEDICAL CENTER,LA,1.009,4.5,4.5,70433
2297,LAKEVIEW REGIONAL MEDICAL CENTER,LA,1.009,4.5,4.5,70433
2298,LAKEVIEW REGIONAL MEDICAL CENTER,LA,1.009,4.5,4.5,70433
2299,LAKEVIEW REGIONAL MEDICAL CENTER,LA,1.0569,18.4,17.4,70433
2300,LAKEVIEW REGIONAL MEDICAL CENTER,LA,1.0569,18.4,17.4,70433
2301,LAKEVIEW REGIONAL MEDICAL CENTER,LA,1.0569,18.4,17.4,70433
2302,LAKEVIEW REGIONAL MEDICAL CENTER,LA,1.049,23.7,22.6,70433
2303,LAKEVIEW REGIONAL MEDICAL CENTER,LA,1.049,23.7,22.6,70433
2304,LAKEVIEW REGIONAL MEDICAL CENTER,LA,1.049,23.7,22.6,70433
2305,LAKEVIEW REGIONAL MEDICAL CENTER,LA,1.0449,22.8,21.8,70433
2306,LAKEVIEW REGIONAL MEDICAL CENTER,LA,1.0449,22.8,21.8,70433
2307,LAKEVIEW REGIONAL MEDICAL CENTER,LA,1.0449,22.8,21.8,70433
2308,LAKEVIEW REGIONAL MEDICAL CENTER,LA,1.0277,12.4,12.1,70433
2309,LAKEVIEW REGIONAL MEDICAL CENTER,LA,1.0277,12.4,12.1,70433
2310,LAKEVIEW REGIONAL MEDICAL CENTER,LA,1.0277,12.4,12.1,70433
2311,FRANCISCAN HEALTH INDIANAPOLIS,IN,0.9008,20.6,22.8,46237
2312,FRANCISCAN HEALTH INDIANAPOLIS,IN,0.9008,20.6,22.8,46237
2313,FRANCISCAN HEALTH INDIANAPOLIS,IN,0.8747,16.0,18.3,46237
2314,FRANCISCAN HEALTH INDIANAPOLIS,IN,0.8747,16.0,18.3,46237
2315,FRANCISCAN HEALTH INDIANAPOLIS,IN,0.9444,13.1,13.9,46237
2316,FRANCISCAN HEALTH INDIANAPOLIS,IN,0.9444,13.1,13.9,46237
2317,FRANCISCAN HEALTH INDIANAPOLIS,IN,1.1795,6.8,5.8,46237
2318,FRANCISCAN HEALTH INDIANAPOLIS,IN,1.1795,6.8,5.8,46237
2319,FRANCISCAN HEALTH INDIANAPOLIS,IN,0.8898,14.2,16.0,46237
2320,FRANCISCAN HEALTH INDIANAPOLIS,IN,0.8898,14.2,16.0,46237
2321,FRANCISCAN HEALTH INDIANAPOLIS,IN,0.9598,21.0,21.9,46237
2322,FRANCISCAN HEALTH INDIANAPOLIS,IN,0.9598,21.0,21.9,46237
2323,FRANCISCAN HEALTH MUNSTER,IN,1.0429,21.0,20.1,46321
2324,FRANCISCAN HEALTH MUNSTER,IN,0.9682,17.0,17.6,46321
2325,FRANCISCAN HEALTH MUNSTER,IN,1.0187,17.9,17.6,46321
2326,FRANCISCAN HEALTH MUNSTER,IN,1.0707,5.5,5.2,46321
2327,PINNACLE HOSPITAL,IN,1.03,17.5,17.0,46307
2328,PINNACLE HOSPITAL,IN,1.03,17.5,17.0,46307
2329,PINNACLE HOSPITAL,IN,0.9277,15.0,16.2,46307
2330,PINNACLE HOSPITAL,IN,0.9277,15.0,16.2,46307
2331,PINNACLE HOSPITAL,IN,0.9704,14.4,14.8,46307
2332,PINNACLE HOSPITAL,IN,0.9704,14.4,14.8,46307
2333,PINNACLE HOSPITAL,IN,1.0102,3.8,3.7,46307
2334,PINNACLE HOSPITAL,IN,1.0102,3.8,3.7,46307
2335,SINAI HOSPITAL OF BALTIMORE,MD,1.0078,16.7,16.5,21215
2336,SINAI HOSPITAL OF BALTIMORE,MD,1.087,14.9,13.7,21215
2337,SINAI HOSPITAL OF BALTIMORE,MD,1.0482,17.2,16.4,21215
2338,SINAI HOSPITAL OF BALTIMORE,MD,1.0226,20.5,20.1,21215
2339,SINAI HOSPITAL OF BALTIMORE,MD,1.063,23.0,21.6,21215
2340,SINAI HOSPITAL OF BALTIMORE,MD,1.0943,5.1,4.7,21215
2341,NORTHWEST HOSPITAL CENTER,MD,1.0156,21.6,21.3,21133
2342,NORTHWEST HOSPITAL CENTER,MD,1.0156,21.6,21.3,21133
2343,NORTHWEST HOSPITAL CENTER,MD,1.1111,4.7,4.3,21133
2344,NORTHWEST HOSPITAL CENTER,MD,1.1111,4.7,4.3,21133
2345,NORTHWEST HOSPITAL CENTER,MD,1.049,20.6,19.6,21133
2346,NORTHWEST HOSPITAL CENTER,MD,1.049,20.6,19.6,21133
2347,NORTHWEST HOSPITAL CENTER,MD,1.1562,19.4,16.7,21133
2348,NORTHWEST HOSPITAL CENTER,MD,1.1562,19.4,16.7,21133
2349,NORTHWEST HOSPITAL CENTER,MD,0.9567,18.5,19.4,21133
2350,NORTHWEST HOSPITAL CENTER,MD,0.9567,18.5,19.4,21133
2351,GREATER BALTIMORE MEDICAL CENTER,MD,1.0288,20.2,19.6,21204
2352,GREATER BALTIMORE MEDICAL CENTER,MD,0.9029,14.6,16.1,21204
2353,GREATER BALTIMORE MEDICAL CENTER,MD,0.8683,16.3,18.7,21204
2354,GREATER BALTIMORE MEDICAL CENTER,MD,0.935,3.8,4.1,21204
2355,GREATER BALTIMORE MEDICAL CENTER,MD,0.8524,17.9,21.0,21204
2356,FORT WASHINGTON HOSPITAL,MD,0.9928,4.5,4.5,20744
2357,FORT WASHINGTON HOSPITAL,MD,1.0921,16.9,15.5,20744
2358,FORT WASHINGTON HOSPITAL,MD,1.1546,23.4,20.3,20744
2359,FORT WASHINGTON HOSPITAL,MD,0.9984,18.1,18.1,20744
2360,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,MA,1.1027,24.9,22.6,2302
2361,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,MA,1.1154,5.1,4.6,2302
2362,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,MA,1.0779,17.1,15.9,2302
2363,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,MA,1.0872,18.8,17.3,2302
2364,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,MA,1.122,21.1,18.8,2302
2365,TUFTS MEDICAL CENTER,MA,1.0644,16.8,15.8,2111
2366,TUFTS MEDICAL CENTER,MA,0.9541,5.1,5.4,2111
2367,TUFTS MEDICAL CENTER,MA,1.0332,22.0,21.3,2111
2368,TUFTS MEDICAL CENTER,MA,0.9639,21.5,22.3,2111
2369,TUFTS MEDICAL CENTER,MA,1.0944,20.0,18.3,2111
2370,TUFTS MEDICAL CENTER,MA,1.1909,21.0,17.6,2111
2371,STURDY MEMORIAL HOSPITAL,MA,1.0286,4.5,4.4,2703
2372,STURDY MEMORIAL HOSPITAL,MA,1.1065,16.9,15.3,2703
2373,STURDY MEMORIAL HOSPITAL,MA,0.955,17.7,18.5,2703
2374,STURDY MEMORIAL HOSPITAL,MA,1.182,20.8,17.6,2703
2375,STURDY MEMORIAL HOSPITAL,MA,1.0341,21.6,20.9,2703
2376,BAYSTATE FRANKLIN MEDICAL CENTER,MA,1.007,16.2,16.1,1301
2377,BAYSTATE FRANKLIN MEDICAL CENTER,MA,1.0241,19.4,19.0,1301
2378,BAYSTATE FRANKLIN MEDICAL CENTER,MA,1.0718,4.9,4.6,1301
2379,BAYSTATE FRANKLIN MEDICAL CENTER,MA,1.0009,20.1,20.1,1301
2380,ANNA JAQUES HOSPITAL,MA,1.1209,23.6,21.1,1950
2381,ANNA JAQUES HOSPITAL,MA,0.9766,18.1,18.5,1950
2382,ANNA JAQUES HOSPITAL,MA,1.0105,18.6,18.4,1950
2383,ANNA JAQUES HOSPITAL,MA,1.0496,17.3,16.5,1950
2384,ANNA JAQUES HOSPITAL,MA,1.1486,4.8,4.2,1950
2385,MASSACHUSETTS GENERAL HOSPITAL,MA,0.9991,21.5,21.5,2114
2386,MASSACHUSETTS GENERAL HOSPITAL,MA,0.9991,21.5,21.5,2114
2387,MASSACHUSETTS GENERAL HOSPITAL,MA,1.006,18.4,18.2,2114
2388,MASSACHUSETTS GENERAL HOSPITAL,MA,1.006,18.4,18.2,2114
2389,MASSACHUSETTS GENERAL HOSPITAL,MA,1.1345,20.0,17.6,2114
2390,MASSACHUSETTS GENERAL HOSPITAL,MA,1.1345,20.0,17.6,2114
2391,MASSACHUSETTS GENERAL HOSPITAL,MA,1.0145,23.3,23.0,2114
2392,MASSACHUSETTS GENERAL HOSPITAL,MA,1.0145,23.3,23.0,2114
2393,MASSACHUSETTS GENERAL HOSPITAL,MA,0.9306,4.2,4.5,2114
2394,MASSACHUSETTS GENERAL HOSPITAL,MA,0.9306,4.2,4.5,2114
2395,MASSACHUSETTS GENERAL HOSPITAL,MA,0.9631,14.3,14.9,2114
2396,MASSACHUSETTS GENERAL HOSPITAL,MA,0.9631,14.3,14.9,2114
2397,MORTON HOSPITAL,MA,1.0692,5.1,4.8,2780
2398,MORTON HOSPITAL,MA,1.0637,22.8,21.5,2780
2399,MORTON HOSPITAL,MA,1.1152,18.8,16.9,2780
2400,MORTON HOSPITAL,MA,1.072,18.9,17.6,2780
2401,MORTON HOSPITAL,MA,1.0461,20.7,19.8,2780
2402,BAYSTATE MEDICAL CENTER,MA,0.9511,21.1,22.2,1199
2403,BAYSTATE MEDICAL CENTER,MA,0.9741,13.8,14.2,1199
2404,BAYSTATE MEDICAL CENTER,MA,0.8636,3.9,4.5,1199
2405,BAYSTATE MEDICAL CENTER,MA,1.0047,15.4,15.3,1199
2406,BAYSTATE MEDICAL CENTER,MA,0.9416,19.6,20.8,1199
2407,BAYSTATE MEDICAL CENTER,MA,0.9277,16.6,17.9,1199
2408,OUR LADY OF THE ANGELS HOSPITAL,LA,1.0317,17.2,16.7,70427
2409,OUR LADY OF THE ANGELS HOSPITAL,LA,1.0288,21.1,20.5,70427
2410,OUR LADY OF THE ANGELS HOSPITAL,LA,1.0439,24.3,23.2,70427
2411,CARY MEDICAL CENTER,ME,1.0043,20.3,20.3,4736
2412,CARY MEDICAL CENTER,ME,0.9224,4.4,4.8,4736
2413,CARY MEDICAL CENTER,ME,1.0246,22.8,22.3,4736
2414,CARY MEDICAL CENTER,ME,0.9859,17.5,17.7,4736
2415,CARY MEDICAL CENTER,ME,1.1137,21.5,19.3,4736
2416,FRANKLIN MEMORIAL HOSPITAL,ME,1.0706,4.4,4.1,4938
2417,FRANKLIN MEMORIAL HOSPITAL,ME,1.0706,4.4,4.1,4938
2418,FRANKLIN MEMORIAL HOSPITAL,ME,1.003,17.8,17.8,4938
