,hospital_name,provider_number,state,readmission_ratio,predicted_rate,expected_rate
4001,CHRISTUS ST MICHAEL HEALTH SYSTEM,450801,TX,0.9794,19.2,19.6
4005,COLLEGE STATION MEDICAL CENTER,450299,TX,0.9677,19.4,20.0
4006,COLLEGE STATION MEDICAL CENTER,450299,TX,0.9849,21.2,21.5
4008,TEXOMA MEDICAL CENTER,450324,TX,1.0415,15.5,14.9
4009,TEXOMA MEDICAL CENTER,450324,TX,1.0495,21.3,20.3
4010,BAPTIST BEAUMONT HOSPITAL,450346,TX,1.0155,21.3,21.0
4012,PERSON MEMORIAL HOSPITAL,340159,NC,1.1081,23.9,21.5
4014,"WAKEMED, CARY HOSPITAL",340173,NC,0.9343,19.0,20.4
4016,DELAWARE COUNTY MEMORIAL HOSPITAL,390081,PA,1.0298,18.2,17.7
4018,SUNBURY COMMUNITY HOSPITAL,390084,PA,0.9422,15.8,16.8
4020,CLARION HOSPITAL,390093,PA,1.0166,15.7,15.4
4021,ST JOSEPH MEDICAL CENTER,390096,PA,0.8986,15.3,17.1
4022,ST JOSEPH MEDICAL CENTER,390096,PA,0.936,15.7,16.8
4023,HOLY REDEEMER HOSPITAL AND MEDICAL CENTER,390097,PA,1.1565,19.0,16.4
4024,LANCASTER GENERAL HOSPITAL,390100,PA,0.9238,12.8,13.8
4025,MEMORIAL HOSPITAL,390101,PA,1.0262,5.2,5.1
4027,BOLIVAR GENERAL HOSPITAL,440181,TN,0.9745,20.5,21.0
4028,NORTH AUSTIN MEDICAL CENTER,450809,TX,1.0389,21.2,20.4
4032,CLEVELAND CLINIC,360180,OH,1.0274,22.3,21.7
4033,SALEM REGIONAL MEDICAL CENTER,360185,OH,0.9887,16.1,16.2
4034,UH GEAUGA MEDICAL CENTER,360192,OH,1.0121,16.6,16.4
4035,TRINITY MEDICAL CTR EAST &TRINITY MEDICAL CTR WEST,360211,OH,0.9524,15.5,16.3
4036,TRINITY MEDICAL CTR EAST &TRINITY MEDICAL CTR WEST,360211,OH,0.9546,19.4,20.3
4037,LICKING MEMORIAL HOSPITAL,360218,OH,0.9874,14.7,14.8
4038,HILLCREST HOSPITAL,360230,OH,0.9771,15.8,16.2
4040,SELF REGIONAL HEALTHCARE,420071,SC,0.9825,20.2,20.6
4042,HAMPTON REGIONAL MEDICAL CENTER,420072,SC,0.9942,4.3,4.3
4043,HAMPTON REGIONAL MEDICAL CENTER,420072,SC,1.0238,16.0,15.6
4044,LEXINGTON MEDICAL CENTER,420073,SC,1.0363,12.7,12.2
4045,GHS GREENVILLE MEMORIAL HOSPITAL,420078,SC,0.9446,13.7,14.5
4047,MARY BLACK HEALTH SYSTEM SPARTANBURG,420083,SC,1.018,4.3,4.3
4048,GRAND STRAND REGIONAL MEDICAL CENTER,420085,SC,1.1038,18.3,16.6
4049,ROPER HOSPITAL,420087,SC,0.8812,3.6,4.1
4050,TIDELANDS WACCAMAW COMMUNITY HOSPITAL,420098,SC,1.0584,14.9,14.1
4051,TIDELANDS WACCAMAW COMMUNITY HOSPITAL,420098,SC,1.0105,4.0,4.0
4052,NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER,340183,NC,1.0019,21.2,21.2
4053,HAYWOOD REGIONAL MEDICAL CENTER,340184,NC,0.9678,15.0,15.5
4054,CAPE FEAR VALLEY HOKE HOSPITAL,340188,NC,1.0168,18.5,18.2
4055,CHI ST ALEXIUS HEALTH BISMARCK,350002,ND,0.8494,10.2,12.0
4056,TRINITY HOSPITALS,350006,ND,1.2018,14.2,11.8
4057,PROVIDENCE MILWAUKIE HOSPITAL,380082,OR,1.0594,20.0,18.9
4063,TENNOVA HEALTHCARE-CLEVELAND,440185,TN,1.0602,23.0,21.7
4064,TENNOVA HEALTHCARE-CLEVELAND,440185,TN,1.0303,4.5,4.4
4065,TENNOVA HEALTHCARE-REGIONAL JACKSON,440189,TN,1.0923,22.1,20.2
4066,TENNOVA HEALTHCARE-REGIONAL JACKSON,440189,TN,1.109,25.4,22.9
4067,TENNOVA HEALTHCARE-REGIONAL JACKSON,440189,TN,1.1164,21.7,19.5
4068,TENNOVA HEALTHCARE-LEBANON,440193,TN,1.0337,18.4,17.8
4069,TRISTAR HENDERSONVILLE MEDICAL CENTER,440194,TN,1.0319,18.0,17.4
4070,TRISTAR SOUTHERN HILLS MEDICAL CENTER,440197,TN,1.028,16.5,16.0
4071,TRISTAR STONECREST MEDICAL CENTER,440227,TN,0.989,15.3,15.5
4072,SAINT FRANCIS BARTLETT MEDICAL CENTER,440228,TN,0.9813,4.1,4.2
4078,SHARON REGIONAL HEALTH SYSTEM,390211,PA,0.9589,15.7,16.4
4079,EXCELA HEALTH FRICK HOSPITAL,390217,PA,0.986,21.3,21.6
4082,PENN PRESBYTERIAN MEDICAL CENTER,390223,PA,1.0192,17.8,17.4
4083,PENN PRESBYTERIAN MEDICAL CENTER,390223,PA,0.9879,17.4,17.6
4084,WELLSPAN EPHRATA COMMUNITY HOSPITAL,390225,PA,1.0924,5.2,4.8
4085,WELLSPAN EPHRATA COMMUNITY HOSPITAL,390225,PA,0.8368,12.6,15.1
4087,EAST TEXAS MEDICAL CENTER,450083,TX,0.932,19.3,20.7
4088,EAST TEXAS MEDICAL CENTER,450083,TX,1.0682,19.4,18.2
4089,NORTH TEXAS MEDICAL CENTER,450090,TX,1.015,20.8,20.5
4091,FORT DUNCAN MEDICAL CENTER,450092,TX,1.0268,6.7,6.5
4092,BAYSHORE MEDICAL CENTER,450097,TX,1.04,22.7,21.9
4093,CHRISTUS MOTHER FRANCES HOSPITAL,450102,TX,0.9731,19.9,20.4
4094,GUADALUPE REGIONAL MEDICAL CENTER,450104,TX,0.9773,19.6,20.0
4097,GEISINGER-COMMUNITY MEDICAL CENTER,390001,PA,1.0483,17.1,16.4
4098,GEISINGER MEDICAL CENTER,390006,PA,0.9758,21.4,21.9
4099,LANSDALE HOSPITAL,390012,PA,1.108,18.3,16.6
4100,EVANGELICAL COMMUNITY HOSPITAL,390013,PA,0.9938,16.1,16.2
4101,PALMERTON HOSPITAL,390019,PA,1.0185,5.4,5.4
4104,MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,450610,TX,0.9322,4.2,4.5
4105,DENTON REGIONAL MEDICAL CENTER,450634,TX,1.2063,18.1,15.0
4106,DENTON REGIONAL MEDICAL CENTER,450634,TX,1.394,5.6,4.0
4107,HOUSTON NORTHWEST MEDICAL CENTER,450638,TX,1.1137,25.6,23.0
4108,TEXAS HEALTH HARRIS METHODIST HURST-EULESS-BEDFORD,450639,TX,1.0695,13.6,12.7
4109,WEST HOUSTON MEDICAL CENTER,450644,TX,1.0518,19.4,18.4
4110,WEST HOUSTON MEDICAL CENTER,450644,TX,0.8964,17.5,19.5
4111,MEDICAL CITY DALLAS,450647,TX,1.062,4.8,4.5
4112,STARR COUNTY MEMORIAL HOSPITAL,450654,TX,1.1022,26.1,23.7
4114,ST CLAIR HOSPITAL,390228,PA,1.1072,21.5,19.4
4116,GUTHRIE TOWANDA MEMORIAL HOSPITAL,390236,PA,1.0556,18.3,17.3
4117,ST JOHN'S RIVERSIDE HOSPITAL,330208,NY,0.9791,20.3,20.7
4118,ST JOHN'S RIVERSIDE HOSPITAL,330208,NY,1.2147,21.2,17.4
4119,"ROME MEMORIAL HOSPITAL, INC",330215,NY,0.9434,18.3,19.3
4121,KNAPP MEDICAL CENTER,450128,TX,1.068,4.8,4.5
4122,NIX HEALTH CARE SYSTEM,450130,TX,1.0449,22.8,21.8
4123,ONSLOW MEMORIAL HOSPITAL,340042,NC,0.9475,19.2,20.2
4124,NORTH CAROLINA BAPTIST HOSPITAL,340047,NC,0.9709,22.1,22.7
4125,NORTH CAROLINA BAPTIST HOSPITAL,340047,NC,0.933,4.3,4.6
4126,SOUTHEASTERN REGIONAL MEDICAL CENTER,340050,NC,1.1126,23.6,21.2
4129,UNIVERSITY OF NORTH CAROLINA HOSPITAL,340061,NC,0.916,19.8,21.6
4131,"WAKEMED, RALEIGH CAMPUS",340069,NC,0.9012,12.7,14.1
4132,TAKOMA REGIONAL HOSPITAL,440050,TN,0.9676,19.4,20.1
4133,TAKOMA REGIONAL HOSPITAL,440050,TN,1.0087,17.8,17.7
4134,TENNOVA HEALTHCARE-VOLUNTEER MARTIN,440061,TN,0.9713,18.7,19.3
4135,TENNOVA HEALTHCARE-VOLUNTEER MARTIN,440061,TN,0.982,18.2,18.5
4137,JOHNSON CITY MEDICAL CENTER,440063,TN,1.1514,5.1,4.4
4138,NORTHCREST MEDICAL CENTER,440065,TN,1.0819,22.2,20.5
4141,TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL,450351,TX,1.0366,18.1,17.5
4142,KETTERING MEDICAL CENTER,360079,OH,0.7494,3.4,4.5
4143,EAST OHIO REGIONAL HOSPITAL,360080,OH,1.0399,20.8,20.0
4144,MERCY ST CHARLES HOSPITAL,360081,OH,0.9898,20.4,20.6
4145,AULTMAN HOSPITAL,360084,OH,1.028,4.6,4.5
4146,OHIO STATE UNIVERSITY HOSPITALS,360085,OH,0.9464,22.8,24.1
4148,MERCY TIFFIN HOSPITAL,360089,OH,0.9924,16.0,16.2
4149,MERCY TIFFIN HOSPITAL,360089,OH,0.9172,18.2,19.9
4150,ST LUKE'S HOSPITAL,360090,OH,1.0669,14.1,13.3
4153,MASSENA MEMORIAL HOSPITAL,330223,NY,0.9704,5.6,5.8
4156,UNITY HOSPITAL OF ROCHESTER,330226,NY,1.0419,17.1,16.4
4158,ST MARY'S HOSPITAL ( TROY ),330232,NY,1.0036,16.5,16.4
4159,ENNIS REGIONAL MEDICAL CENTER,450833,TX,0.9925,16.1,16.3
4161,TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN,450840,TX,1.0318,15.2,14.7
4162,HOUSTON METHODIST WILLOWBROOK HOSPITAL,450844,TX,0.9989,17.8,17.9
4163,HOUSTON METHODIST WILLOWBROOK HOSPITAL,450844,TX,0.896,18.9,21.0
4164,ALAMANCE REGIONAL MEDICAL CENTER,340070,NC,0.9996,16.3,16.4
4165,CAROLINAS HEALTHCARE SYSTEM-BLUE RIDGE,340075,NC,0.9739,16.2,16.6
4166,HILLCREST HOSPITAL SOUTH,370202,OK,0.9787,16.0,16.4
4167,HILLCREST HOSPITAL SOUTH,370202,OK,0.9505,18.9,19.9
4168,HILLCREST HOSPITAL SOUTH,370202,OK,1.0843,5.1,4.7
4174,"SAINT FRANCIS HOSPITAL SOUTH, LLC",370218,OK,1.044,16.4,15.7
4175,HUNT REGIONAL MEDICAL CENTER,450352,TX,1.0266,20.6,20.1
4176,BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE,450372,TX,1.0122,17.9,17.7
4177,DALLAS MEDICAL CENTER,450379,TX,1.1269,6.4,5.7
4178,EAST TEXAS MEDICAL CENTER ATHENS,450389,TX,0.9508,17.0,17.9
4180,BROWNFIELD REGIONAL MEDICAL CENTER,450399,TX,0.9476,17.3,18.3
4182,P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK,350063,ND,1.002,15.2,15.1
4184,EAST LIVERPOOL CITY HOSPITAL,360096,OH,1.0854,24.9,22.9
4185,LAKE HEALTH,360098,OH,0.943,12.8,13.6
4186,UPMC PASSAVANT,390107,PA,0.9438,13.1,13.9
4188,MEADVILLE MEDICAL CENTER,390113,PA,0.9933,13.9,14.0
4189,MEADVILLE MEDICAL CENTER,390113,PA,1.0273,17.3,16.8
4190,MAGEE WOMENS HOSPITAL OF UPMC HEALTH SYSTEM,390114,PA,1.0688,23.3,21.8
4192,BRADFORD REGIONAL MEDICAL CENTER,390118,PA,0.9437,5.2,5.5
4196,MEMORIAL HERMANN KATY HOSPITAL,450847,TX,0.9899,21.5,21.7
4197,BAYLOR HEART AND VASCULAR HOSPITAL,450851,TX,0.8941,11.9,13.3
4199,HARLINGEN MEDICAL CENTER,450855,TX,0.951,13.3,14.0
4203,MERCY ST ANNE HOSPITAL,360262,OH,0.9512,18.8,19.7
4205,ST JOHN OWASSO,370227,OK,1.0034,19.3,19.2
4207,"BAILEY MEDICAL CENTER, LLC",370228,OK,0.8932,3.7,4.1
4208,MOUNT PLEASANT HOSPITAL,420104,SC,1.0163,22.1,21.8
4209,MCLEOD LORIS  HOSPITAL,420105,SC,0.9667,4.2,4.3
4212,MCLEOD HEALTH CHERAW,420107,SC,1.0148,17.1,16.8
4214,PRAIRIE LAKES HOSPITAL,430005,SD,0.958,16.5,17.3
4216,BROOKINGS HEALTH SYSTEM,430008,SD,0.9686,16.8,17.3
4217,ESSENTIA HEALTH-FARGO,350070,ND,1.0152,13.6,13.3
4218,UNIVERSITY HOSPITALS SAMARITAN MEDICAL CENTER,360002,OH,1.0057,19.0,18.9
4219,UNIVERSITY HOSPITALS SAMARITAN MEDICAL CENTER,360002,OH,0.7974,3.6,4.5
4220,SOUTHERN OHIO MEDICAL CENTER,360008,OH,1.1368,18.7,16.4
4221,LIMA MEMORIAL HEALTH SYSTEM,360009,OH,1.0858,14.1,13.0
4222,MARION GENERAL HOSPITAL,360011,OH,1.0025,14.5,14.5
4225,OHIOHEALTH O'BLENESS HOSPITAL,360014,OH,1.0056,20.0,19.9
4226,"JEWISH HOSPITAL, LLC",360016,OH,0.9927,18.0,18.2
4228,WAYNE MEMORIAL HOSPITAL,390125,PA,0.9687,4.8,4.9
4230,LEHIGH VALLEY HOSPITAL,390133,PA,0.9943,4.7,4.8
4232,OLEAN GENERAL HOSPITAL,330103,NY,0.914,15.5,17.0
4234,BERTRAND CHAFFEE HOSPITAL,330111,NY,1.0471,19.7,18.8
4245,UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,360359,OH,0.9608,21.1,22.0
4246,LEHIGH VALLEY HOSPITAL - MUHLENBERG,390263,PA,1.0385,17.6,17.0
4248,AVERA SACRED HEART HOSPITAL,430012,SD,0.9295,16.1,17.3
4249,AVERA SACRED HEART HOSPITAL,430012,SD,0.903,17.7,19.6
4251,AVERA ST MARY'S HOSPITAL,430015,SD,0.9973,15.7,15.8
4252,SANFORD USD MEDICAL CENTER,430027,SD,0.8921,11.4,12.8
4253,MEDICAL CENTER HOSPITAL,450132,TX,1.0045,17.0,16.9
4254,BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER,450137,TX,0.977,21.0,21.5
4256,EAST ORANGE GENERAL HOSPITAL,310083,NJ,1.2115,28.0,23.1
4257,MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS,310084,NJ,1.0236,21.4,20.9
4258,KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV,310086,NJ,1.117,22.7,20.3
4259,SAINT MICHAEL'S MEDICAL CENTER,310096,NJ,1.0278,21.7,21.1
4260,LEA REGIONAL MEDICAL CENTER,320065,NM,0.9726,19.4,20.0
4262,DHHS USPHS INDIAN HEALTH SERVICES,320070,NM,0.9554,12.7,13.3
4263,MOUNTAIN VIEW REGIONAL MEDICAL CENTER,320085,NM,1.08,12.7,11.8
4264,MOUNTAIN VIEW REGIONAL MEDICAL CENTER,320085,NM,1.309,5.7,4.4
4265,MOUNTAIN VIEW REGIONAL MEDICAL CENTER,320085,NM,0.9947,15.8,15.9
4266,LOVELACE REGIONAL HOSPITAL - ROSWELL,320086,NM,0.9627,16.0,16.6
4267,UT SOUTHWESTERN UNIVERSITY HOSPITAL,450044,TX,0.9067,17.1,18.8
4268,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI,450046,TX,1.1365,16.0,14.1
4269,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI,450046,TX,1.024,23.4,22.9
4270,METHODIST DALLAS MEDICAL CENTER,450051,TX,1.0165,18.8,18.5
4271,BAPTIST MEDICAL CENTER,450058,TX,1.0062,14.9,14.8
4272,BAPTIST MEDICAL CENTER,450058,TX,0.9587,4.2,4.4
4273,ANSON GENERAL HOSPITAL,450078,TX,1.0059,17.0,16.9
4274,TITUS REGIONAL MEDICAL CENTER,450080,TX,1.0133,21.7,21.4
4275,NOVANT HEALTH ROWAN MEDICAL CENTER,340015,NC,1.0179,19.0,18.6
4276,NOVANT HEALTH ROWAN MEDICAL CENTER,340015,NC,1.0513,21.7,20.7
4278,SUMMERSVILLE REGIONAL MEDICAL CENTER,510082,WV,1.0038,17.0,16.9
4279,WELCH COMMUNITY HOSPITAL,510086,WV,1.0137,18.8,18.5
4281,CHARLESTON SURGICAL HOSPITAL,510091,WV,1.0311,3.2,3.1
4282,MINISTRY ST MICHAELS HOSPITAL OF STEVENS POINT,520002,WI,1.0177,15.9,15.6
4283,WAUKESHA MEMORIAL HOSPITAL,520008,WI,1.0482,12.8,12.2
4284,WAUKESHA MEMORIAL HOSPITAL,520008,WI,0.9358,19.4,20.7
4285,LAKEVIEW MEDICAL CENTER,520011,WI,0.9357,19.3,20.6
4286,SACRED HEART HOSPITAL,520013,WI,0.8601,19.3,22.5
4287,MINISTRY SAINT MARYS HOSPITAL,520019,WI,1.0255,19.6,19.1
4288,MINISTRY SAINT MARYS HOSPITAL,520019,WI,0.9791,19.9,20.3
4289,MINISTRY SAINT MARYS HOSPITAL,520019,WI,0.8724,3.8,4.4
4291,COLISEUM MEDICAL CENTERS,110164,GA,1.0271,17.8,17.3
4292,SMYTH COUNTY COMMUNITY HOSPITAL,490038,VA,0.9741,20.8,21.4
4293,INOVA ALEXANDRIA HOSPITAL,490040,VA,0.9842,13.7,14.0
4294,INOVA LOUDOUN HOSPITAL,490043,VA,0.9683,19.7,20.4
4295,SENTARA OBICI HOSPITAL,490044,VA,1.0677,19.7,18.4
4296,SENTARA OBICI HOSPITAL,490044,VA,0.8067,3.6,4.5
4297,NOVANT HEALTH UVA  PRINCE WILLIAM MEDICAL CENTER,490045,VA,0.977,15.4,15.7
4298,SENTARA LEIGH HOSPITAL,490046,VA,1.0753,18.9,17.5
4299,LEWISGALE MEDICAL CENTER,490048,VA,1.0093,15.2,15.0
4301,RESOLUTE HEALTH HOSPITAL,670098,TX,1.0039,18.6,18.6
4302,ALBANY MEMORIAL HOSPITAL,330003,NY,0.9612,16.4,17.0
4304,ST JOSEPH'S MEDICAL CENTER,330006,NY,1.0635,23.2,21.8
4305,ST JOSEPH'S MEDICAL CENTER,330006,NY,0.9491,5.6,5.9
4307,JAMAICA HOSPITAL MEDICAL CENTER,330014,NY,1.0685,22.2,20.8
4308,JAMAICA HOSPITAL MEDICAL CENTER,330014,NY,1.1293,16.8,14.9
4309,VASSAR BROTHERS MEDICAL CENTER,330023,NY,1.1927,23.5,19.7
4310,VASSAR BROTHERS MEDICAL CENTER,330023,NY,1.046,21.8,20.9
4311,NEWARK-WAYNE COMMUNITY HOSPITAL,330030,NY,1.2755,26.9,21.1
4312,NOVANT HEALTH ROWAN MEDICAL CENTER,340015,NC,1.0588,17.5,16.6
4315,HARRIS REGIONAL HOSPITAL,340016,NC,1.0705,23.0,21.5
4316,HARRIS REGIONAL HOSPITAL,340016,NC,1.0388,3.8,3.7
4317,MARGARET R PARDEE MEMORIAL HOSPITAL,340017,NC,0.9539,20.4,21.4
4319,CAPE FEAR VALLEY MEDICAL CENTER,340028,NC,1.0923,20.6,18.9
4322,MEMORIAL HOSPITAL,140185,IL,1.0335,17.9,17.3
4323,RIVERSIDE MEDICAL CENTER,140186,IL,0.9003,4.2,4.6
4324,PRESENCE SAINT JOSEPH HOSPITAL - ELGIN,140217,IL,0.9247,17.7,19.1
4325,UNITED HOSPITAL SYSTEM,520021,WI,1.0379,14.0,13.4
4326,UNITED HOSPITAL SYSTEM,520021,WI,0.9637,17.0,17.6
4331,PEARLAND MEDICAL CENTER,670106,TX,0.9682,17.5,18.1
4337,LEWISGALE HOSPITAL PULASKI,490116,VA,1.0676,19.6,18.4
4340,SWEDISH MEDICAL CENTER,500027,WA,0.9796,17.9,18.2
4341,PROVIDENCE CENTRALIA HOSPITAL,500019,WA,1.1128,22.6,20.3
4342,ST CLARE HOSPITAL,500021,WA,0.9751,16.7,17.1
4343,PROVIDENCE ST PETER HOSPITAL,500024,WA,0.9293,13.0,13.9
4344,SWEDISH MEDICAL CENTER,500027,WA,0.9306,17.0,18.3
4345,SWEDISH MEDICAL CENTER,500027,WA,1.0963,22.1,20.2
4346,ST JOSEPH MEDICAL CENTER,500030,WA,0.9052,13.9,15.3
4348,PUTNAM HOSPITAL CENTER,330273,NY,0.9861,4.5,4.5
4349,PUTNAM HOSPITAL CENTER,330273,NY,0.9962,16.8,16.9
4350,NATHAN LITTAUER HOSPITAL,330276,NY,0.9752,18.0,18.5
4351,CORNING HOSPITAL,330277,NY,1.1748,23.6,20.1
4352,STRONG MEMORIAL HOSPITAL,330285,NY,1.0712,24.5,22.9
4354,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,330286,NY,1.0145,22.3,21.9
4355,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,330286,NY,1.3975,7.6,5.5
4356,ST ANTHONY SHAWNEE HOSPITAL,370149,OK,0.8967,17.5,19.5
4357,ST ANTHONY SHAWNEE HOSPITAL,370149,OK,1.026,16.3,15.9
4363,W W HASTINGS INDIAN HOSPITAL,370171,OK,0.9483,20.5,21.7
4366,MEMORIAL HOSPITAL,370178,OK,0.9901,17.4,17.5
4370,AURORA MEDICAL CTR WASHINGTON COUNTY,520038,WI,0.9946,20.8,20.9
4373,DIVINE SAVIOR HEALTHCARE,520041,WI,1.0188,16.5,16.2
4374,DIVINE SAVIOR HEALTHCARE,520041,WI,0.9301,4.6,5.0
4376,MERCY MEDICAL CENTER OF OSHKOSH,520048,WI,0.9905,15.9,16.0
4377,MERCY MEDICAL CENTER OF OSHKOSH,520048,WI,1.0163,18.1,17.8
4378,COLUMBIA ST MARYS HOSPITAL MILWAUKEE,520051,WI,0.9865,16.4,16.6
4379,MERCY MEDICAL CENTER-DES MOINES,160083,IA,0.8552,11.5,13.5
4380,NEWTON MEDICAL CENTER,170103,KS,1.0231,15.4,15.0
4383,"JANE PHILLIPS MEMORIAL MEDICAL CENTER, INC",370018,OK,0.9594,18.0,18.8
4385,UINTAH BASIN MEDICAL CENTER,460019,UT,1.0494,19.4,18.4
4386,VIRGINIA HOSPITAL CENTER,490050,VA,0.9428,17.8,18.9
4387,RIVERSIDE REGIONAL MEDICAL CENTER,490052,VA,1.1315,14.7,13.0
4388,RIVERSIDE REGIONAL MEDICAL CENTER,490052,VA,0.9089,18.5,20.4
4389,JOHNSTON MEMORIAL HOSPITAL,490053,VA,1.1161,20.6,18.5
4390,SENTARA VIRGINIA BEACH GENERAL HOSPITAL,490057,VA,1.126,22.7,20.1
4391,SENTARA VIRGINIA BEACH GENERAL HOSPITAL,490057,VA,1.025,22.4,21.9
4392,SENTARA VIRGINIA BEACH GENERAL HOSPITAL,490057,VA,1.1314,20.0,17.7
4393,CLINCH VALLEY MEDICAL CENTER,490060,VA,1.035,24.3,23.4
4394,WHITE PLAINS HOSPITAL CENTER,330304,NY,0.9606,20.1,20.9
4395,PLAINVIEW HOSPITAL,330331,NY,1.1043,6.2,5.6
4396,ST JOSEPH HOSPITAL,330332,NY,0.9739,20.0,20.6
4398,CATSKILL REGIONAL MEDICAL CENTER,330386,NY,1.0216,19.2,18.8
4399,"UNITED HEALTH SERVICES HOSPITALS, INC",330394,NY,1.2934,15.8,12.2
4402,ARISE AUSTIN MEDICAL CENTER,450871,TX,0.913,3.5,3.8
4407,"CHENANGO MEMORIAL HOSPITAL, INC",330033,NY,1.0664,5.1,4.8
4408,"CHENANGO MEMORIAL HOSPITAL, INC",330033,NY,0.9295,13.3,14.3
4409,SOUTHSIDE HOSPITAL,330043,NY,0.9471,12.2,12.9
4410,SOUTHSIDE HOSPITAL,330043,NY,0.9922,4.9,4.9
4411,HUNTINGTON HOSPITAL,330045,NY,1.0694,23.2,21.7
4412,MOUNT SINAI WEST,330046,NY,1.0532,15.8,15.0
4413,ST MARY'S HOSPITAL AT AMSTERDAM,330047,NY,1.0169,21.9,21.5
4415,ST PETER'S HOSPITAL,330057,NY,0.8804,4.0,4.5
4416,OVERLAND PARK REG MED CTR,170176,KS,1.0174,22.0,21.6
4418,FRANCISCAN HEALTH INDIANAPOLIS,150162,IN,0.9444,13.1,13.9
4419,UNIVERSITY HOSPITAL & CLINICS,190006,LA,1.0511,21.4,20.4
4420,ACADIA GENERAL HOSPITAL,190044,LA,0.9727,15.4,15.9
4421,MERCY REGIONAL MEDICAL CENTER,190167,LA,0.9971,5.3,5.3
4422,AURORA MEMORIAL HOSPITAL BURLINGTON,520059,WI,0.9941,22.5,22.6
4423,OCONOMOWOC MEMORIAL HOSPITAL,520062,WI,0.9428,15.5,16.4
4424,OCONOMOWOC MEMORIAL HOSPITAL,520062,WI,0.8566,3.4,4.0
4425,ST JOSEPHS COMMUNITY HOSPITAL OF WEST BEND,520063,WI,1.0261,21.5,20.9
4426,ST VINCENT HOSPITAL,520075,WI,0.8597,16.8,19.5
4427,BEAVER DAM COMMUNITY HOSPITAL,520076,WI,0.9383,14.5,15.4
4428,SENTARA WILLIAMSBURG REGIONAL MEDICAL CENTER,490066,VA,0.8285,13.2,15.9
4429,BON SECOURS MEMORIAL REGIONAL MEDICAL CENTER,490069,VA,0.9487,18.4,19.4
4430,DANVILLE REGIONAL MEDICAL CENTER,490075,VA,1.1567,25.3,21.9
4431,MEMORIAL HOSPITAL OF MARTINSVILLE & HENRY COUNTY,490079,VA,0.9633,16.4,17.0
4433,RIVERSIDE TAPPAHANNOCK HOSPITAL,490084,VA,0.9767,19.8,20.3
4434,RIVERSIDE TAPPAHANNOCK HOSPITAL,490084,VA,0.9011,14.8,16.4
4439,FOUNDATION SURGICAL HOSPITAL OF EL PASO,450877,TX,0.9367,3.7,3.9
4441,TEXAS INSTITUTE FOR SURGERY AT PRESBYTERIAN HOSPIT,450889,TX,0.9089,2.9,3.2
4442,BAYLOR REGIONAL MEDICAL CENTER AT PLANO,450890,TX,1.0144,19.1,18.9
4445,UTAH VALLEY HOSPITAL,460001,UT,0.9633,11.5,11.9
4446,ALLIANCEHEALTH WOODWARD,370002,OK,0.9827,16.5,16.8
4447,F F THOMPSON HOSPITAL,330074,NY,1.1852,23.9,20.2
4448,SISTERS OF CHARITY HOSPITAL,330078,NY,1.0085,4.6,4.5
4449,ADIRONDACK MEDICAL CENTER,330079,NY,1.0263,16.8,16.4
4450,MONTEFIORE MOUNT VERNON HOSPITAL,330086,NY,1.04,21.6,20.8
4455,WHEATON FRANCISCAN HEALTHCARE ST FRANCIS HOSPITAL,520078,WI,0.9721,21.8,22.5
4456,SSM HEALTH ST MARY'S HOSPITAL - MADISON,520083,WI,0.9579,14.4,15.0
4457,GUNDERSEN LUTHERAN MEDICAL CENTER,520087,WI,0.877,12.8,14.7
4458,ST AGNES HOSPITAL,520088,WI,1.0685,21.7,20.3
4460,SAUK PRAIRIE HOSPITAL,520095,WI,0.7416,2.7,3.6
4461,ST MARYS HOSPITAL MEDICAL CTR,520097,WI,0.9604,13.0,13.6
4462,"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",190102,LA,1.0555,22.8,21.6
4463,OAKDALE COMMUNITY HOSPITAL,190106,LA,1.0072,17.2,17.1
4464,FLEMING COUNTY HOSPITAL,180053,KY,0.976,3.9,4.0
4465,UNIVERSITY OF KENTUCKY HOSPITAL,180067,KY,1.0749,4.8,4.5
4467,SAINT AGNES HOSPITAL,210011,MD,1.0143,21.7,21.4
4468,PROVIDENCE HOSPITAL,10090,AL,1.1723,18.8,16.0
4469,BAPTIST MEDICAL CENTER SOUTH,10023,AL,1.0818,4.7,4.4
4470,BANNER BAYWOOD MEDICAL CENTER,30088,AZ,1.2091,5.4,4.4
4471,MERCY HOSPITAL NORTHWEST ARKANSAS,40010,AR,1.0025,16.3,16.3
