,state,cms_number,name,nursing_care,physical_therapy,occupational_therapy,pathology_services,medical_soc_services,home_health_aid,star_rating,timeliness,rx_ed,fall_risk,depression_check,flu_shot,pneumonia_shot,d_foot_care,move_buff,in_out_bed_buff,bathing_buff,move_pain_debuff,breathing_buff,oral_rx_buff,hospital_admit,urgent_noadmit,readmit_expectation,er_admit_expectation
885,CA,59211,24-7 QUALITY INFUSION AND HOME HEALTH INC,True,True,True,True,True,True,3.5,97.6,98.0,99.0,100.0,0.0,0.4,100.0,95.5,59.9,72.9,100.0,62.7,36.9,12.3,5.2,1,2
886,CA,59212,"D & B HEALTH CARE PROFESSIONALS BURBANK, INC",True,True,True,True,True,True,3.0,96.4,100.0,100.0,100.0,67.7,86.3,94.3,62.3,59.6,69.5,86.3,73.3,70.2,20.2,9.1,2,2
887,CA,59213,SHAPIRA & STEIN HOME HEALTHCARE AGENCY,True,True,True,True,True,True,3.5,90.4,100.0,99.0,96.7,61.9,71.0,96.2,81.4,78.3,78.9,85.5,57.2,43.6,11.6,13.7,0,0
888,CA,59214,MIRACLE LIFE HOME HEALTH INC,True,True,True,True,True,True,3.5,98.3,99.3,100.0,99.3,12.7,9.4,100.0,82.7,52.7,85.8,81.9,32.3,54.9,9.2,7.2,2,2
889,CA,59216,GRACE HOME HEALTH NURSING SERVICES,True,True,True,True,True,True,4.0,94.2,98.6,100.0,98.6,31.8,24.3,97.9,83.7,77.9,75.5,78.6,84.5,82.3,12.2,7.8,3,2
890,CA,59217,"INFINITY CARE SERVICES, INC",True,True,True,True,True,True,3.0,98.5,95.1,100.0,99.9,81.5,80.1,100.0,62.1,66.4,59.8,65.9,64.2,49.2,14.4,17.6,2,1
891,CA,59219,"HEALTHWAYS HOME HEALTH SERVICES, INC",True,True,True,True,True,True,4.0,97.1,99.4,99.6,99.7,76.9,85.7,100.0,72.2,69.5,68.2,97.6,85.0,66.6,13.1,14.3,2,3
892,CA,59220,"PROVIDENT HOME HEALTHCARE, INC",True,True,False,True,True,True,3.5,100.0,89.3,100.0,100.0,50.0,43.1,95.2,67.9,65.4,85.6,80.7,74.4,55.2,11.4,10.5,0,0
893,CA,59221,OPTIMA HOME HEALTH SERVICES,True,True,True,True,True,True,1.5,82.9,90.4,56.5,21.2,7.1,15.2,95.8,25.6,36.6,27.6,37.7,43.3,32.3,16.6,20.5,2,2
894,CA,59223,"BENEFICIAL HOME HEALTH SERVICES, INC",True,True,True,True,True,True,2.5,98.7,91.1,100.0,97.5,30.2,62.0,71.4,54.5,60.6,66.3,73.7,65.5,66.2,12.8,7.6,0,0
895,CA,59224,"CAREWELL HOME HEALTH, INC",True,True,True,True,True,True,3.5,91.9,99.4,100.0,100.0,99.1,99.4,98.5,54.1,72.3,71.5,82.1,74.5,52.2,19.2,12.9,1,2
896,CA,59227,VALLEY HOME HEALTH,True,True,True,True,True,False,2.0,90.1,98.1,99.5,97.5,54.6,58.7,93.1,52.8,54.3,59.8,49.6,64.7,41.4,15.0,14.7,2,2
897,CA,59230,RITE CARE HOME HEALTH,True,True,True,True,True,True,3.5,75.4,97.1,100.0,100.0,63.0,44.8,100.0,76.3,86.0,71.9,93.2,76.5,60.4,8.4,8.0,0,0
898,CA,59231,"PLANET HOME HEALTH CARE, INC",True,True,True,True,True,True,2.5,97.3,96.4,100.0,100.0,33.3,62.5,100.0,78.8,42.3,60.4,72.9,17.0,61.7,10.4,7.8,0,0
899,CA,59233,"IBOLIT HOME HEALTH, INC",True,True,True,True,True,True,3.5,98.0,100.0,100.0,100.0,45.7,5.1,100.0,81.4,42.0,83.8,100.0,49.9,12.8,9.7,5.0,0,0
900,CA,59234,"GUARDIAN HOME HEALTH, INC",True,True,True,True,True,True,4.0,98.2,100.0,100.0,100.0,54.9,31.7,100.0,85.7,55.7,71.7,100.0,49.9,61.8,9.8,6.7,0,0
901,CA,59237,MERIDIAN HOME HEALTH,True,True,True,True,True,True,4.0,98.6,99.3,100.0,98.6,98.9,98.6,98.4,69.4,70.6,72.1,85.5,77.6,62.6,16.2,9.3,2,2
902,CA,59239,"VICTORY HOME HEALTH CARE, INC",True,True,True,True,True,True,4.0,91.4,98.8,99.6,98.4,70.2,34.0,100.0,100.0,100.0,80.1,90.8,73.8,68.0,13.1,6.7,0,0
903,CA,59241,"PRIVILEGE HOME SERVICES, INC",True,True,True,True,True,True,3.5,82.3,89.1,98.9,97.5,85.7,94.6,98.0,76.6,73.6,81.0,69.2,93.7,59.0,18.6,10.0,2,2
904,CA,59242,"ALL-ACCESS HOME HEALTH, INC",True,True,True,True,True,True,3.0,73.1,97.6,99.7,100.0,83.0,69.6,98.7,70.2,54.7,78.6,85.1,61.2,62.5,17.2,8.0,2,2
905,CA,59243,FLORENCE HOME HEALTH CARE,True,True,True,True,True,True,3.5,97.5,100.0,100.0,100.0,76.9,75.2,100.0,72.8,67.9,72.1,85.9,33.0,65.8,10.1,12.6,0,0
906,CA,59245,"SERENITY HOME HEALTH CARE, INC",True,True,True,True,True,True,3.0,97.1,99.5,98.8,89.4,88.4,93.1,98.6,63.1,43.3,73.9,80.3,68.8,53.7,21.1,13.4,2,2
907,CA,59246,CAMARILLO SKILLED HOME HEALTH LLC,True,True,True,True,True,True,3.5,94.0,96.7,97.7,81.9,73.7,70.0,100.0,67.7,57.4,59.3,86.5,80.0,48.7,10.5,13.2,2,2
908,CA,59248,GIFTED ARMS HOME HEALTHCARE SERVICES,True,True,True,False,True,False,3.0,95.3,93.9,99.6,99.0,85.6,63.8,97.0,58.0,70.9,77.8,62.3,82.2,64.2,17.9,15.4,1,2
909,CA,59250,"UNITED NURSING SOLUTIONS, INC",True,True,True,True,True,True,1.5,82.5,95.6,100.0,99.3,77.1,75.7,99.3,27.5,35.6,34.2,46.0,31.7,36.8,16.0,3.9,1,2
910,CA,59251,"ADVANCED HOME HEALTH NORTHBAY, INC",True,True,True,True,True,False,3.5,90.6,99.2,100.0,98.4,90.8,91.1,98.1,63.9,59.8,64.5,76.3,72.3,57.1,10.8,16.9,2,1
911,CA,59252,INNERJOY HOME HEALTH SERVICES INC,True,True,True,True,True,True,2.5,90.8,91.0,100.0,100.0,92.6,93.0,97.9,64.4,51.9,70.8,90.1,54.1,47.7,23.7,6.8,2,2
912,CA,59253,"METROPOLITAN HEALTHCARE, INC",True,True,True,True,True,True,3.5,92.0,97.1,100.0,100.0,70.1,86.8,100.0,84.4,49.9,72.2,92.0,45.6,61.1,13.8,5.4,0,0
913,CA,59254,HANA HOME CARE,True,True,True,True,True,True,3.0,99.5,97.4,100.0,99.7,93.5,90.9,100.0,60.1,45.8,68.4,59.4,40.5,44.2,17.0,5.5,2,2
914,CA,59256,ACACIA HOME HEALTH SERVICES,True,True,True,True,True,True,4.0,91.8,99.5,99.7,99.7,67.3,72.0,99.1,77.7,79.8,77.9,87.3,72.4,77.0,10.7,12.4,2,2
915,CA,59257,"GOLDEN SEAL HOME HEALTH, INC",True,True,True,True,True,True,3.0,94.3,98.9,97.2,95.3,78.8,52.0,100.0,42.4,52.3,40.6,96.2,63.6,47.3,13.9,18.1,0,0
916,CA,59259,SUNCREST HOME HEALTH SERVICES INC,True,True,True,True,True,True,4.0,100.0,92.2,100.0,98.7,77.3,97.4,100.0,60.6,78.2,87.3,99.5,87.1,55.5,23.8,10.3,2,2
917,CA,59260,BONUM OF OC HOME HEALTH SERVICES,True,True,True,True,False,False,4.5,98.0,99.2,99.6,100.0,78.3,84.7,100.0,89.0,100.0,81.8,93.3,82.8,68.5,14.1,10.6,2,1
918,CA,59262,"LOS FELIZ HOME HEALTH, INC",True,True,True,True,True,True,3.5,92.4,100.0,100.0,100.0,48.1,50.9,100.0,83.7,63.1,48.7,100.0,33.8,34.6,12.2,13.7,0,0
919,CA,59263,"PRESTIGE HOME HEALTH CARE, INC",True,True,True,True,True,True,5.0,97.7,99.7,100.0,100.0,84.5,41.8,100.0,97.9,75.5,90.4,100.0,87.6,47.7,11.7,6.2,0,0
920,CA,59264,"DIVINE GRACE HOME HEALTH, INC",True,True,True,True,True,True,4.5,83.7,98.4,98.9,100.0,84.8,86.9,100.0,83.5,79.6,100.0,90.6,90.2,84.7,12.5,10.0,2,2
921,CA,59265,"OPEN ARMS HOME HEALTH CARE, INC",True,True,True,True,True,True,4.5,93.8,99.1,100.0,100.0,96.4,100.0,100.0,100.0,100.0,93.0,68.6,100.0,90.4,17.1,8.9,0,0
922,CA,59266,MATRIX HOME HEALTH,True,True,True,True,True,True,3.0,87.7,97.3,100.0,97.6,83.6,82.5,94.1,68.6,61.9,67.5,80.5,71.8,38.2,15.2,9.4,2,2
923,CA,59267,"ADVANCE HOME CARE, INC",True,True,True,True,True,True,3.5,84.0,99.6,100.0,100.0,35.8,44.7,100.0,100.0,43.2,83.3,100.0,82.8,70.6,11.2,8.2,0,0
924,CA,59269,"ANG HEALTH CARE, INC",True,True,True,True,True,True,1.5,78.5,89.1,100.0,92.9,65.4,73.2,98.5,46.5,44.7,56.7,61.5,46.3,44.7,13.5,15.3,2,1
925,CA,59271,"INDEPENDENCE HOME HEALTH, INC",True,True,True,True,True,True,4.5,96.7,100.0,100.0,100.0,100.0,100.0,100.0,84.2,69.7,88.6,100.0,89.5,52.3,16.4,11.9,0,0
926,CA,59272,"PLEASURE HOME HEALTH, INC",True,True,True,True,True,True,4.0,99.3,99.3,100.0,100.0,76.5,75.9,100.0,100.0,44.1,85.6,84.7,52.8,71.5,11.2,7.5,0,0
927,CA,59273,ALERT HOME HEALTH CARE,True,True,True,True,True,True,4.5,87.5,100.0,100.0,100.0,100.0,100.0,100.0,73.7,77.9,96.8,85.1,100.0,69.8,13.4,12.8,2,2
928,CA,59275,"WEST COAST HOME HEALTH CARE, INC",True,True,True,True,True,True,3.5,97.9,99.1,100.0,100.0,38.1,4.3,96.6,91.2,59.9,78.4,98.1,37.3,51.0,10.0,10.9,0,0
929,CA,59276,"JM HOMECARE SOLUTIONS, INC",True,True,True,True,True,True,3.0,95.9,93.9,100.0,100.0,94.9,89.8,100.0,61.2,41.9,72.1,91.9,81.1,22.3,17.9,4.6,0,0
930,CA,59277,"ATRIUM HOME HEALTH, INC",True,True,True,True,True,True,4.0,93.7,95.2,100.0,95.3,63.2,95.2,93.5,57.9,86.0,86.2,90.9,94.1,66.8,13.5,10.6,2,2
931,CA,59280,"VALLEY HOME HEALTH CARE, INC",True,True,True,True,True,True,4.0,100.0,100.0,100.0,100.0,62.3,52.2,100.0,93.7,47.7,79.5,100.0,28.2,83.6,9.6,6.9,0,0
932,CA,59281,"DIAMOND HOME HEALTH, INC",True,True,True,True,True,True,4.0,99.4,100.0,100.0,100.0,96.0,92.6,100.0,62.8,58.0,77.3,90.3,59.4,56.5,11.6,8.7,2,2
933,CA,59282,BROOKDALE HOME HEALTH,True,True,True,True,True,True,3.0,78.6,97.9,98.7,89.1,84.7,86.0,85.3,68.4,69.6,75.5,71.6,76.5,53.3,13.1,13.4,2,1
934,CA,59283,"ASHERAH HOME & PALLIATIVE CARE, INC",True,True,True,True,True,True,4.5,96.6,100.0,100.0,100.0,83.3,73.0,100.0,89.9,100.0,75.6,97.7,79.4,50.6,15.4,9.5,0,0
935,CA,59285,"MILLENNIUM HOME HEALTH CARE, INC",True,True,True,True,True,True,4.0,98.9,100.0,100.0,100.0,18.3,7.0,100.0,31.4,97.2,88.8,27.1,93.9,21.6,8.0,11.2,0,0
936,CA,59286,"PROCARE HOME HEALTH AGENCY, INC",True,True,True,True,True,True,4.5,98.6,95.2,100.0,98.4,56.3,67.2,97.8,100.0,87.3,100.0,96.8,93.0,99.6,15.2,13.7,2,2
937,CA,59287,"ST PAUL HOME HEALTH SERVICES, INC",True,True,True,True,True,True,4.0,97.5,96.8,99.6,100.0,91.5,58.4,100.0,85.8,50.1,84.2,96.9,60.4,55.9,19.9,9.4,2,2
938,CA,59288,"TOP CHOICE HOME HEALTHCARE, INC.",True,True,True,True,True,True,3.0,85.2,100.0,100.0,100.0,81.9,63.8,100.0,65.9,59.0,67.4,88.2,58.9,48.5,16.5,10.6,2,2
939,CA,59289,"FIRST AID HOME HEALTH CARE, INC",True,True,True,True,True,True,4.5,92.9,99.3,100.0,100.0,99.1,97.9,100.0,100.0,100.0,93.4,94.6,86.1,85.8,16.5,11.2,2,2
940,CA,59290,"ASAP HOME HEALTH PROVIDERS, INC",True,True,True,True,True,True,2.5,90.8,99.0,100.0,98.6,55.6,78.2,100.0,58.0,64.6,73.6,70.6,39.8,45.1,16.0,12.3,2,2
941,CA,59292,"GOLDEN CENTURY HOME HEALTH CARE, INC",True,True,True,True,True,True,3.0,98.9,100.0,100.0,97.7,29.8,31.4,100.0,90.9,40.8,7.0,13.1,0.0,0.0,10.2,9.8,0,0
942,CA,59294,ALLIED HOME HEALTH CARE CORPORATION,True,True,True,True,True,True,3.0,84.4,99.3,100.0,100.0,93.0,93.4,100.0,57.0,58.4,69.6,69.6,61.5,62.6,15.7,13.5,2,2
943,CA,59297,"TITUS HOME HEALTH CARE, INC",True,True,True,False,True,True,4.5,98.6,99.0,100.0,100.0,75.1,39.1,100.0,100.0,33.3,81.3,100.0,92.7,54.2,11.2,10.0,0,0
944,CA,59298,"BLESSED HEALTH CARE PROVIDER, INC",True,True,True,True,True,True,4.5,93.1,100.0,100.0,100.0,86.8,67.8,100.0,71.2,97.9,77.3,100.0,85.3,64.4,7.9,4.0,0,0
945,CA,59299,COMPANION HOME HEALTH CARE CORPORATION,True,True,True,True,True,True,3.0,96.8,84.9,99.3,98.9,82.7,60.7,100.0,67.4,66.6,66.3,69.4,68.2,47.8,15.2,13.0,2,2
946,CA,59300,"PACIFIC RIM HOME HEALTH, INC",True,True,True,True,True,True,3.0,89.6,97.7,100.0,100.0,65.9,80.5,100.0,69.4,56.4,78.8,81.5,84.3,51.7,17.3,12.2,2,2
947,CA,59301,DEPENDABLE NURSING LLC,True,True,True,True,True,True,3.0,81.0,98.1,93.4,81.2,80.4,61.8,74.1,67.4,64.4,75.5,80.9,79.2,41.0,11.8,20.1,2,2
948,CA,59302,HOME HEALTH ALLIANCE,True,True,True,True,True,True,3.0,88.8,85.9,95.4,72.3,71.2,76.1,88.7,65.7,71.8,68.1,75.3,83.8,48.0,11.1,8.7,0,0
949,CA,59303,SEAPORT HOME HEALTH,True,True,True,True,True,True,4.5,94.0,99.8,100.0,97.2,99.6,99.0,100.0,75.5,81.5,84.4,72.0,85.9,68.8,12.2,11.4,2,2
950,CA,59304,"ALSA HOME HEALTH CARE, INC",True,True,True,True,True,True,2.5,94.0,99.3,96.8,92.3,68.4,44.2,100.0,55.1,41.5,49.4,90.3,52.3,44.4,14.4,11.0,0,0
951,CA,59305,"CITY OF ANGELS HOME HEALTH, INC",True,True,True,True,True,True,2.0,89.3,99.1,100.0,100.0,50.8,48.2,98.0,49.6,51.7,56.4,57.4,54.4,55.9,10.4,12.4,0,0
952,CA,59306,"RINALDI HOME HEALTH CARE, INC",True,True,True,True,True,True,4.0,100.0,98.6,100.0,97.2,29.2,29.2,100.0,87.3,60.1,76.8,100.0,72.9,53.3,12.9,5.5,0,0
953,CA,59307,"NOBLE HOSPICE & HOME HEALTH CARE, INC",True,True,True,True,True,True,3.5,98.7,97.0,99.4,100.0,83.9,92.7,98.6,66.5,50.8,71.3,83.6,83.5,57.1,16.4,19.9,2,2
954,CA,59308,GOLDEN ANGELS HOME HEALTH CARE,True,True,True,True,True,True,3.0,92.4,100.0,100.0,100.0,100.0,100.0,100.0,65.0,38.1,67.0,81.6,55.4,63.2,14.0,11.4,2,2
955,CA,59309,JMJ HOME HEALTH SERVICES,True,True,True,True,True,True,3.5,97.8,100.0,99.7,100.0,78.9,92.9,99.0,64.6,58.8,63.2,66.8,69.7,50.1,8.0,12.6,2,2
956,CA,59310,ACES HOME HEALTHCARE SERVICES INC,True,True,False,False,True,True,1.5,82.5,74.5,98.0,89.5,51.1,51.8,51.6,49.0,30.3,63.2,46.3,44.5,35.8,14.6,16.0,0,0
957,CA,59312,"HEALTHPOINT HOME HEALTH, INC",True,True,True,True,True,True,3.0,89.1,98.5,97.6,92.4,61.8,82.9,100.0,50.0,73.7,62.1,80.3,69.0,52.7,13.4,14.6,2,2
958,CA,59316,ANGELICARE HOME HEALTH INC,True,True,True,True,True,True,2.5,80.3,95.6,98.7,96.3,88.4,83.8,97.2,43.5,46.5,42.7,74.3,65.3,27.1,14.6,13.4,2,1
959,CA,59317,"NURSES AND ANGELS HOME HEALTH, INC",True,True,True,True,True,True,3.0,92.9,100.0,100.0,100.0,96.3,97.9,100.0,46.8,62.6,63.2,77.0,23.8,71.1,19.3,2.0,0,0
960,CA,59318,"PATRIOT HOME HEALTH CARE, INC",True,True,True,True,True,True,4.0,98.8,100.0,100.0,100.0,11.2,6.8,100.0,100.0,41.6,88.7,94.1,72.1,32.2,8.8,4.8,2,2
961,CA,59320,MISSION HOSPICE AND HOME CARE,True,True,True,True,True,True,3.5,97.0,99.7,99.0,99.0,90.8,94.7,100.0,62.0,65.0,72.8,76.4,63.0,62.2,15.6,16.7,2,2
962,CA,59329,"AT HOME HEALTH SERVICES, INC",True,True,True,True,True,True,4.5,99.7,99.5,100.0,99.7,76.7,91.8,100.0,57.2,100.0,95.8,100.0,93.2,90.6,12.9,11.8,2,2
963,CA,59322,"PRESTIGE HOME HEALTH SERVICES, INC",True,True,True,True,True,True,5.0,97.3,100.0,98.3,98.6,98.2,93.8,100.0,85.5,78.4,93.9,100.0,99.4,85.2,17.8,14.6,2,2
964,CA,59326,"LOVING CARE HOME HEALTH, LLC.",True,True,True,True,True,True,3.5,96.3,98.5,100.0,100.0,93.2,94.9,96.2,69.7,72.8,69.7,67.0,57.6,56.1,12.2,10.5,2,1
965,CA,59327,"CONCORDIA HEALTH CARE PROVIDER, INC",True,True,True,True,True,True,2.0,91.8,95.3,100.0,95.3,48.3,96.5,92.3,58.3,63.4,59.3,64.6,51.0,42.9,14.2,6.5,2,2
966,CA,59328,HOME HEALTH ANGELS,True,True,True,True,True,True,3.5,97.0,95.5,97.8,98.5,83.0,77.4,71.7,65.9,71.7,75.6,91.9,90.4,56.6,19.6,11.7,2,2
967,CA,59330,"TRI-CARE HOME HEALTH SERVICES, INC.",True,True,True,True,True,True,3.0,76.5,99.2,100.0,96.5,83.3,98.4,96.2,68.3,58.2,76.7,82.4,69.4,65.4,14.8,7.4,0,0
968,CA,59331,"ACCESS HOME HEALTH CARE, LLC",True,True,True,True,True,True,5.0,99.4,100.0,100.0,100.0,93.1,98.5,100.0,74.0,79.2,81.1,93.2,81.0,65.2,13.3,10.2,2,2
969,CA,59332,SENSICARE HOME HEALTH INC,True,True,True,True,True,True,5.0,94.5,100.0,100.0,100.0,98.7,100.0,100.0,82.3,87.0,84.0,95.5,85.2,83.0,10.0,13.2,2,2
970,CA,59335,"SUPERIOR CARE HOME HEALTH AGENCY, INC",True,True,True,True,True,True,4.0,97.1,100.0,100.0,100.0,94.0,100.0,100.0,77.2,42.9,89.5,100.0,74.4,92.3,24.0,8.8,0,0
971,CA,59336,"SOCAL HOME HEALTH, INC",True,True,True,True,True,True,4.5,88.7,99.4,100.0,100.0,85.1,70.6,100.0,94.8,79.5,89.6,100.0,88.0,80.4,7.9,10.8,2,2
972,CA,59338,"FOREMOST HOME HEALTH CARE, INC",True,True,True,True,True,True,4.0,94.7,99.8,100.0,100.0,72.7,58.1,100.0,90.0,54.9,75.3,92.8,82.9,78.1,17.8,11.7,2,2
973,CA,59339,"ST LUKE HOME HEALTH CARE, INC",True,True,True,True,True,True,3.0,89.4,98.9,100.0,99.5,80.3,85.4,98.5,75.7,55.1,75.9,62.0,51.4,50.8,13.3,10.9,2,2
974,CA,59343,"PERFECT TOUCH HOME HEALTH CARE, INC",True,True,True,True,True,True,4.0,98.8,100.0,100.0,100.0,99.1,92.6,100.0,79.0,45.1,69.6,100.0,73.9,45.7,13.1,8.4,0,0
975,CA,59346,"FIVE STAR QUALITY HEALTHCARE, INC",True,True,True,True,True,True,4.0,98.3,98.8,100.0,100.0,8.8,4.0,100.0,100.0,40.7,74.2,100.0,86.0,45.7,11.6,9.7,0,0
976,CA,59349,"TRUEMED, INC",True,True,True,True,True,True,4.0,93.7,95.9,99.4,99.8,75.9,87.1,96.3,84.6,82.1,84.3,94.2,78.6,61.3,18.2,12.8,2,1
977,CA,59350,"PROHEALTH HOME CARE SERVICES, INC.",True,True,True,True,True,True,3.5,97.6,97.2,99.7,99.8,71.0,81.3,97.3,63.9,78.0,67.1,85.4,71.9,42.0,16.8,6.3,1,2
978,CA,59351,"FAITH & HOPE HOME HEALTH, INC.",True,True,True,True,True,True,4.0,89.2,99.7,100.0,100.0,90.4,77.5,100.0,98.8,63.3,83.0,100.0,59.3,74.7,13.0,10.4,2,2
979,CA,59352,VALENCIA HOME CARE,True,True,True,True,True,True,4.0,100.0,100.0,100.0,100.0,91.4,0.0,100.0,78.5,31.9,73.3,90.1,68.8,20.1,12.5,19.9,0,0
980,CA,59353,"GENTLE CARE HOME HEALTH SERVICES, INC",True,True,True,True,True,True,2.5,92.5,91.3,99.1,99.2,96.2,23.2,100.0,75.6,52.7,56.8,38.1,28.9,27.6,14.3,15.1,2,2
981,CA,59354,BLIZE HEALTHCARE,True,True,True,True,True,True,3.5,94.6,91.6,99.4,95.8,71.0,76.2,99.2,67.4,57.0,69.9,82.7,91.3,53.6,10.4,16.0,2,1
982,CA,59356,HEALTH PLUS HOME HEALTH CARE INC,True,True,True,True,True,True,2.5,98.4,98.1,100.0,99.8,86.2,92.9,96.8,57.1,61.5,61.4,54.7,62.4,49.3,16.3,4.3,2,2
983,CA,59359,24/7 HOME HEALTH SERVICES,True,True,True,True,True,True,4.0,97.1,100.0,100.0,100.0,84.6,100.0,100.0,42.3,85.3,57.2,96.2,90.4,0.0,8.8,18.4,0,0
984,CA,59361,"CURING HANDS HOME HEALTH, INC",True,True,True,True,True,True,2.5,93.2,99.4,99.6,100.0,38.1,76.5,99.2,47.0,42.5,58.1,86.5,69.0,42.4,15.2,8.3,2,2
985,CA,59392,"PROHEALTH HOME CARE, INC",True,True,True,True,True,True,4.5,100.0,98.9,100.0,100.0,97.2,95.2,96.0,70.6,72.0,81.2,92.5,92.7,75.9,13.8,10.9,2,2
986,CA,59364,CARELINK HOME HEALTH AGENCY,True,True,True,True,True,True,4.0,98.9,99.7,100.0,97.3,89.7,93.1,98.5,70.6,68.7,72.3,81.8,88.9,71.7,14.3,11.4,1,1
987,CA,59365,"ALLEVIATION HEALTHCARE SERVICES, INC",True,True,True,True,True,True,3.0,94.5,99.6,99.5,97.4,68.6,77.2,99.0,66.4,70.3,69.5,69.9,70.8,65.1,14.6,9.5,1,2
988,CA,59366,"24-SEVEN HOME HEALTH, INC",True,True,True,True,True,True,3.0,88.3,100.0,100.0,96.6,87.8,89.5,100.0,44.1,72.0,42.1,78.6,90.2,23.3,18.3,0.0,0,0
989,CA,59367,OPTIMAL HOME HEALTH,True,True,True,True,True,True,2.5,94.4,83.1,100.0,99.5,64.6,79.3,99.3,61.8,63.3,58.2,73.7,70.2,47.3,11.2,7.2,2,2
990,CA,59368,THA HOME HEALTH CARE INC,True,True,True,True,True,True,4.5,97.7,99.6,100.0,100.0,89.7,26.8,99.0,95.7,39.5,82.0,100.0,87.8,46.6,12.3,6.6,0,0
991,CA,59370,"EVERLOVING HOME HEALTH, INC.",True,True,True,True,True,True,3.5,94.9,100.0,100.0,100.0,100.0,100.0,100.0,79.2,62.3,66.6,79.9,60.4,59.5,14.8,11.1,2,2
992,CA,59371,"PROHEALTH HOMECARE AGENCY, INC",True,True,True,True,True,True,4.0,98.9,100.0,100.0,100.0,98.6,85.8,100.0,68.0,61.9,74.0,87.4,70.8,64.3,12.6,8.3,2,2
993,CA,59373,RIVER VALLEY HOME HEALTH,True,True,False,False,False,True,4.5,94.3,100.0,100.0,95.3,73.3,80.4,100.0,77.7,86.5,93.3,88.6,91.8,67.8,19.0,16.7,2,1
994,CA,59374,ODOS HOME HEALTH INC,True,True,True,True,True,True,3.5,100.0,99.4,99.8,100.0,74.1,96.1,100.0,60.3,59.1,69.0,87.6,91.1,42.4,16.5,11.9,2,2
995,CA,59375,"HEALTHY LIVING AT HOME, INC.",True,True,True,True,True,True,3.5,96.8,99.7,99.3,85.4,94.1,94.3,99.4,66.9,63.3,65.5,76.4,77.8,51.6,13.0,12.2,2,2
996,CA,59376,CARE PLUS HOME HEALTH,True,True,True,True,True,False,4.0,98.8,99.4,100.0,99.5,92.6,96.3,99.5,69.9,64.6,69.4,94.6,93.4,59.2,13.4,11.7,2,2
997,CA,59377,"PROMPT HOME HEALTH, INC",True,True,True,False,True,True,4.5,94.9,100.0,100.0,100.0,21.3,0.4,100.0,100.0,86.1,75.3,100.0,92.6,63.9,9.8,5.7,0,0
998,CA,59379,"VALLEY'S BEST HOME HEALTH, INC",True,True,True,True,True,True,3.0,78.9,97.2,97.8,95.5,66.5,81.7,100.0,65.7,62.3,65.0,90.1,78.2,49.2,11.0,10.0,2,2
999,CA,59381,AMITY HOME HEALTH CARE INC,True,True,True,True,True,True,3.0,75.4,94.1,98.5,98.3,78.2,77.5,95.0,66.2,61.8,69.1,77.9,76.1,52.3,15.5,13.5,1,1
1000,CA,59382,"SEQUOIA HOME HEALTH, INC",True,True,True,True,True,True,2.5,87.8,86.4,99.7,99.3,68.4,78.2,95.9,61.4,71.5,68.9,67.7,65.9,47.0,16.7,14.3,2,1
1001,CA,59383,"CROSS CARE, INC",True,True,True,True,True,True,2.5,96.7,92.7,99.7,100.0,91.3,60.8,97.6,66.2,48.7,60.2,63.2,38.7,43.9,15.1,3.7,2,3
1002,CA,59384,HORIZON VALLEY HOME HEALTH CARE INC,True,True,True,True,True,True,5.0,100.0,100.0,99.7,98.7,98.8,97.0,100.0,83.9,78.7,88.9,95.5,95.5,81.9,12.6,10.7,2,1
1003,CA,59385,"HEALTHY LIVING AT HOME, INC",True,True,True,True,True,True,4.0,99.0,100.0,99.6,96.0,96.7,97.5,98.6,71.4,66.4,70.7,76.1,74.1,66.0,14.0,14.4,2,2
1004,CA,59386,"ZELOMARA PLUS HOME HEALTH, INC",True,True,True,True,True,True,4.0,87.3,98.8,94.8,82.4,67.5,67.9,97.7,84.9,92.6,93.7,93.0,87.8,76.7,19.8,2.2,2,2
1005,CA,59387,ABC HOME HEALTH CARE LLC D/B/A BRIDGE HOME HEALTH,True,True,True,True,True,True,4.0,98.2,99.4,99.0,98.4,89.7,93.1,99.3,73.0,67.1,79.5,79.7,80.8,63.0,14.3,12.9,1,1
1006,CA,59389,"EXCELLENCE HOME HEALTH PROVIDER, INC",True,True,True,True,True,True,3.0,93.6,95.4,100.0,94.9,93.2,97.4,99.0,58.1,69.4,58.6,81.0,70.3,41.1,16.4,12.0,2,1
1007,CA,59390,"UNIFIED CARE PROVIDERS, INC",True,True,True,True,True,True,3.5,99.6,98.4,99.5,100.0,91.6,97.6,99.0,63.2,60.3,58.6,92.8,67.7,58.7,15.1,14.1,0,0
1008,CA,59391,MODERN HOME HEALTH CARE INC,True,True,True,True,True,True,2.5,88.9,98.7,99.0,97.6,80.9,97.6,99.2,58.4,56.3,66.6,75.6,68.0,48.5,15.8,11.1,2,2
1009,CA,59394,"M.G.A. HOME HEALTH SERVICES, INC.",True,True,True,True,True,True,3.5,92.0,99.1,100.0,100.0,90.2,100.0,100.0,57.0,33.5,86.0,100.0,94.2,41.4,17.8,7.7,2,2
1010,CA,59395,"NCA HOME HEALTH CARE, INC",True,True,True,True,True,True,2.5,95.0,99.5,99.2,96.0,41.7,25.3,100.0,63.0,55.4,63.8,77.2,54.7,40.6,11.8,8.2,0,0
